# mode=bounded label=bounded-r1 tickRate=3000 symbols=20 payloadBytes=480 queueCapacity=1000 bufferLimitBytes=1048576 sendTimeLimitMs=5000 blockingSendTimeoutMs=0 heapMaxMB=123
t_s,heap_used_mb,heap_max_mb,published,published_per_s,delivered_per_s,slow_queue_msgs,slow_queue_mb,normal_queue_msgs_max,normal_queue_mb_max,dropped_total,closed_sessions,gc_count,gc_ms,broadcast_blocked_ms,oom
0,21.5,123.8,2946,2946,14972,1000,0.46,0,0.00,1703,0,6,51,0,0
1,39.4,123.8,5952,3006,15090,1000,0.46,0,0.00,4649,0,6,51,0,0
3,22.7,123.8,8910,2958,14825,1000,0.46,6,0.00,7547,0,7,57,0,0
4,40.7,123.8,11898,2988,15025,1000,0.46,1,0.00,10475,0,7,57,0,0
5,24.3,123.8,14904,3006,15090,1000,0.46,0,0.00,13421,0,8,60,0,0
6,42.3,123.8,17916,3012,15120,1000,0.46,0,0.00,16373,0,8,60,0,0
7,25.2,123.8,20778,2862,14370,1000,0.46,0,0.00,19175,0,9,63,0,0
8,42.7,123.8,23748,2970,14884,1000,0.46,6,0.00,22085,0,9,63,0,0
9,26.5,123.8,26724,2976,15026,1000,0.46,0,0.00,24941,0,10,66,0,0
10,44.3,123.8,29712,2988,15000,1000,0.46,0,0.00,27869,0,10,66,0,0
11,27.8,123.8,32712,3000,15060,1000,0.46,0,0.00,30809,0,11,70,0,0
12,44.2,123.8,35520,2808,14100,1000,0.46,0,0.00,33557,0,11,70,1,0
13,28.0,123.8,38520,3000,15060,1000,0.46,0,0.00,36497,0,12,72,1,0
14,45.8,123.8,41532,3012,15120,1000,0.46,0,0.00,39449,0,12,72,1,0
15,29.5,123.8,44532,3000,15060,1000,0.46,0,0.00,42389,0,13,75,1,0
16,47.3,123.8,47538,3006,15090,1000,0.46,0,0.00,45335,0,13,75,1,0
17,30.9,123.8,50520,2982,14970,1000,0.46,0,0.00,48257,0,14,78,3,0
18,14.0,123.8,53463,2943,14835,1000,0.46,9,0.00,51088,0,15,81,3,0
19,32.1,123.8,56466,3003,15075,1000,0.46,0,0.00,54023,0,15,81,3,0
20,15.4,123.8,59424,2958,14849,1000,0.46,0,0.00,56922,0,16,82,4,0
21,33.5,123.8,62431,3007,15090,1000,0.46,6,0.00,59874,0,16,82,4,0
22,17.4,123.8,65424,2993,15030,999,0.46,4,0.00,62805,0,17,84,4,0
23,34.2,123.8,68305,2881,14464,1000,0.46,6,0.00,65628,0,17,84,6,0
24,18.0,123.8,71262,2957,14846,1000,0.46,0,0.00,68520,0,18,88,6,0
25,35.5,123.8,74274,3012,15120,1000,0.46,0,0.00,71472,0,18,88,6,0
26,19.3,123.8,77238,2964,14915,1000,0.46,5,0.00,74316,0,19,92,8,0
27,37.0,123.8,80244,3006,15085,1000,0.46,6,0.00,77262,0,19,92,8,0
28,20.8,123.8,83214,2970,14910,1000,0.46,6,0.00,80172,0,20,94,8,0
29,37.6,123.8,86100,2886,14520,1000,0.46,0,0.00,82998,0,20,94,11,0
30,21.4,123.8,89100,3000,15060,1000,0.46,4,0.00,85942,0,21,97,11,0
31,38.8,123.8,92106,3006,15090,1000,0.46,0,0.00,88884,0,21,97,12,0
32,22.7,123.8,95088,2982,14970,1000,0.46,0,0.00,91806,0,22,100,12,0
33,40.6,123.8,98100,3012,15120,1000,0.46,0,0.00,94758,0,22,100,12,0
34,24.2,123.8,101076,2976,15000,1000,0.46,0,0.00,97614,0,23,102,12,0
35,42.1,123.8,104064,2988,15000,1000,0.46,0,0.00,100542,0,23,102,12,0
36,25.5,123.8,107064,3000,15060,1000,0.46,0,0.00,103482,0,24,103,13,0
37,43.4,123.8,110070,3006,15090,1000,0.46,0,0.00,106428,0,24,103,13,0
38,26.8,123.8,113048,2978,14940,1000,0.46,6,0.00,109350,0,25,105,15,0
39,44.3,123.8,116058,3010,15120,1000,0.46,0,0.00,112296,0,25,105,15,0
40,28.2,123.8,119064,3006,15089,1000,0.46,0,0.00,115242,0,26,108,15,0
41,45.8,123.8,122064,3000,15031,1000,0.46,6,0.00,118182,0,26,108,15,0
42,29.6,123.8,125034,2970,14939,1000,0.46,0,0.00,121093,0,27,109,15,0
43,45.9,123.8,127782,2748,13860,1000,0.46,0,0.00,123721,0,27,109,15,0
44,29.5,123.8,130734,2952,14809,1000,0.46,5,0.00,126613,0,28,112,15,0
45,45.6,123.8,133740,3006,12996,1000,0.46,6,0.00,129241,6,28,112,15,0
