# mode=combo label=combo-stalled-r1 tickRate=3000 symbols=20 payloadBytes=480 queueCapacity=1000 bufferLimitBytes=1048576 sendTimeLimitMs=5000 blockingSendTimeoutMs=0 heapMaxMB=123
t_s,heap_used_mb,heap_max_mb,published,published_per_s,delivered_per_s,slow_queue_msgs,slow_queue_mb,normal_queue_msgs_max,normal_queue_mb_max,dropped_total,closed_sessions,gc_count,gc_ms,broadcast_blocked_ms,oom
0,21.5,123.8,2886,2886,14607,20,0.01,0,0.00,2688,0,6,50,8,0
1,40.6,123.8,5904,3018,15068,20,0.01,6,0.00,5706,0,6,50,8,0
2,25.5,123.8,8874,2970,14846,20,0.01,6,0.00,8676,0,7,53,8,0
3,44.2,123.8,11874,3000,15026,20,0.01,0,0.00,11676,0,7,53,8,0
4,29.2,123.8,14868,2994,14965,20,0.01,3,0.00,14670,0,8,61,8,0
6,16.1,123.8,18042,3174,15875,20,0.01,0,0.00,17676,1,9,69,9,0
7,33.3,123.8,20952,2910,14548,20,0.01,1,0.00,17676,1,9,69,9,0
8,17.3,123.8,23934,2982,14883,20,0.01,6,0.00,17676,1,10,76,10,0
9,34.9,123.8,26940,3006,15059,20,0.01,1,0.00,17676,1,10,76,10,0
10,18.3,123.8,29928,2988,14940,20,0.01,0,0.00,17676,1,11,83,10,0
11,35.5,123.8,32911,2983,14910,20,0.01,3,0.00,17676,1,11,83,10,0
12,19.2,123.8,35904,2993,14964,20,0.01,5,0.00,17676,1,12,87,10,0
13,35.9,123.8,38772,2868,14316,20,0.01,6,0.00,17676,1,12,87,10,0
14,19.9,123.8,41760,2988,14967,20,0.01,0,0.00,17679,1,13,94,10,0
15,36.8,123.8,44766,3006,15000,20,0.01,6,0.00,17679,1,13,94,10,0
16,20.6,123.8,47758,2992,14972,20,0.01,6,0.00,17679,1,14,101,10,0
17,37.7,123.8,50724,2966,14848,20,0.01,1,0.00,17679,1,14,101,10,0
18,21.3,123.8,53682,2958,14790,20,0.01,0,0.00,17679,1,15,107,10,0
19,38.5,123.8,56652,2970,14850,20,0.01,1,0.00,17679,1,15,107,10,0
20,21.8,123.8,59634,2982,14910,20,0.01,0,0.00,17679,1,16,115,10,0
21,39.0,123.8,62640,3006,14997,20,0.01,6,0.00,17694,1,16,115,11,0
22,22.5,123.8,65628,2988,14958,20,0.01,0,0.00,17694,1,17,124,11,0
23,39.5,123.8,68580,2952,14723,20,0.01,12,0.01,17694,1,17,124,11,0
24,22.7,123.8,71472,2892,14497,20,0.01,1,0.00,17694,1,18,128,11,0
25,39.6,123.8,74442,2970,14850,20,0.01,0,0.00,17694,1,18,128,11,0
26,23.4,123.8,77424,2982,14910,20,0.01,0,0.00,17694,1,19,135,11,0
27,40.9,123.8,80430,3006,15030,20,0.01,1,0.00,17694,1,19,135,11,0
28,24.1,123.8,83412,2982,14910,20,0.01,0,0.00,17694,1,20,144,11,0
29,41.6,123.8,86406,2994,14970,20,0.01,0,0.00,17694,1,20,144,11,0
30,25.4,123.8,89382,2976,14880,20,0.01,0,0.00,17694,1,21,153,11,0
31,42.3,123.8,92382,3000,14977,20,0.01,6,0.00,17694,1,21,153,12,0
32,26.1,123.8,95388,3006,15053,20,0.01,0,0.00,17694,1,22,155,12,0
33,43.6,123.8,98400,3012,15060,20,0.01,0,0.00,17694,1,22,155,12,0
34,27.4,123.8,101382,2982,14901,20,0.01,0,0.00,17703,1,23,157,15,0
35,44.9,123.8,104376,2994,14950,20,0.01,6,0.00,17703,1,23,157,15,0
36,27.4,123.8,107250,2874,14330,20,0.01,12,0.01,17703,1,24,158,82,0
37,44.9,123.8,110166,2916,14640,20,0.01,0,0.00,17703,1,24,158,82,0
38,28.1,123.8,113142,2976,14880,20,0.01,0,0.00,17703,1,25,160,82,0
39,45.7,123.8,116136,2994,14970,20,0.01,0,0.00,17703,1,25,160,82,0
40,29.4,123.8,119142,3006,15012,20,0.01,6,0.00,17703,1,26,161,82,0
41,46.9,123.8,122136,2994,14988,20,0.01,0,0.00,17703,1,26,161,82,0
42,30.4,123.8,125136,3000,14970,20,0.01,6,0.00,17703,1,27,162,82,0
43,13.9,123.8,128124,2988,14970,20,0.01,6,0.00,17703,1,28,163,82,0
44,31.4,123.8,131106,2982,14910,20,0.01,0,0.00,17703,1,28,163,83,0
45,45.5,123.8,134106,3000,11095,20,0.01,4,0.00,17703,6,28,163,83,0
