# mode=decorator label=decorator-r2 tickRate=3000 symbols=20 payloadBytes=480 queueCapacity=1000 bufferLimitBytes=524288 sendTimeLimitMs=5000 blockingSendTimeoutMs=0 heapMaxMB=123
t_s,heap_used_mb,heap_max_mb,published,published_per_s,delivered_per_s,slow_queue_msgs,slow_queue_mb,normal_queue_msgs_max,normal_queue_mb_max,dropped_total,closed_sessions,gc_count,gc_ms,broadcast_blocked_ms,oom
0,29.7,123.8,2886,2886,15706,0,0.50,0,0.00,0,1,6,49,0,0
1,20.1,123.8,5886,3000,14970,0,0.50,0,0.00,0,1,7,56,0,0
2,44.1,123.8,8808,2922,14640,0,0.50,0,0.00,0,1,7,56,0,0
3,34.4,123.8,11808,3000,15000,0,0.50,0,0.00,0,1,8,58,0,0
4,24.8,123.8,14820,3012,15030,0,0.50,0,0.00,0,1,9,59,0,0
5,15.3,123.8,17826,3006,15041,0,0.50,0,0.00,0,1,10,62,0,0
6,39.8,123.8,20838,3012,15079,0,0.50,0,0.00,0,1,10,62,0,0
7,30.2,123.8,23832,2994,14970,0,0.50,0,0.00,0,1,11,65,0,0
9,20.4,123.8,26838,3006,15030,0,0.50,0,0.00,0,1,12,67,0,0
10,44.8,123.8,29844,3006,15030,0,0.50,0,0.00,0,1,12,67,0,0
11,35.2,123.8,32856,3012,15030,0,0.50,0,0.00,0,1,13,69,0,0
12,25.4,123.8,35856,3000,15030,0,0.50,0,0.00,0,1,14,71,0,0
13,16.1,123.8,38868,3012,15060,0,0.50,0,0.00,0,1,15,72,0,0
14,40.2,123.8,41880,3012,15030,0,0.50,0,0.00,0,1,15,72,0,0
15,30.5,123.8,44886,3006,15060,0,0.50,0,0.00,0,1,16,75,0,0
16,21.0,123.8,47880,2994,14970,0,0.50,0,0.00,0,1,17,78,0,0
17,45.1,123.8,50886,3006,15025,0,0.50,0,0.00,0,1,17,78,0,0
18,35.7,123.8,53892,3006,15035,0,0.50,0,0.00,0,1,18,79,0,0
19,26.0,123.8,56904,3012,15060,0,0.50,0,0.00,0,1,19,80,0,0
20,16.3,123.8,59886,2982,14910,0,0.50,0,0.00,0,1,20,83,0,0
21,40.6,123.8,62892,3006,15030,0,0.50,0,0.00,0,1,20,83,0,0
22,31.1,123.8,65904,3012,15030,0,0.50,0,0.00,0,1,21,85,0,0
23,21.5,123.8,68898,2994,15000,0,0.50,0,0.00,0,1,22,87,0,0
24,45.9,123.8,71916,3018,15060,0,0.50,0,0.00,0,1,22,87,0,0
25,36.6,123.8,74922,3006,15060,0,0.50,0,0.00,0,1,23,89,0,0
26,26.8,123.8,77928,3006,15000,0,0.50,0,0.00,0,1,24,91,0,0
27,17.4,123.8,80934,3006,15060,0,0.50,0,0.00,0,1,25,92,1,0
28,41.7,123.8,83940,3006,15030,0,0.50,0,0.00,0,1,25,92,1,0
29,31.9,123.8,86934,2994,14970,0,0.50,0,0.00,0,1,26,93,1,0
30,22.3,123.8,89944,3010,15030,0,0.50,0,0.00,0,1,27,95,1,0
31,46.6,123.8,92958,3014,15060,0,0.50,0,0.00,0,1,27,95,1,0
32,37.2,123.8,95958,3000,15015,0,0.50,0,0.00,0,1,28,95,1,0
33,27.6,123.8,98952,2994,14985,0,0.50,0,0.00,0,1,29,97,1,0
34,17.8,123.8,101946,2994,14970,0,0.50,0,0.00,0,1,30,98,1,0
35,42.2,123.8,104958,3012,15060,0,0.50,0,0.00,0,1,30,98,1,0
36,32.8,123.8,107952,2994,14963,0,0.50,0,0.00,0,1,31,100,1,0
37,23.3,123.8,110958,3006,15037,0,0.50,0,0.00,0,1,32,101,1,0
38,47.5,123.8,113964,3006,15030,0,0.50,0,0.00,0,1,32,101,1,0
39,37.8,123.8,116952,2988,14912,0,0.50,0,0.00,0,1,33,102,2,0
40,28.4,123.8,119952,3000,15028,0,0.50,0,0.00,0,1,34,103,2,0
41,18.9,123.8,122964,3012,15034,0,0.50,0,0.00,0,1,35,105,2,0
42,43.3,123.8,125970,3006,15056,0,0.50,0,0.00,0,1,35,105,2,0
43,33.8,123.8,128982,3012,15030,0,0.50,0,0.00,0,1,36,106,2,0
44,24.4,123.8,131988,3006,15060,0,0.50,0,0.00,0,1,37,107,2,0
45,46.7,123.8,135000,3012,13209,0,0.50,0,0.00,0,6,37,107,2,0
