# mode=direct label=direct-r1 tickRate=3000 symbols=20 payloadBytes=480 queueCapacity=1000 bufferLimitBytes=1048576 sendTimeLimitMs=5000 blockingSendTimeoutMs=0 heapMaxMB=123
t_s,heap_used_mb,heap_max_mb,published,published_per_s,delivered_per_s,slow_queue_msgs,slow_queue_mb,normal_queue_msgs_max,normal_queue_mb_max,dropped_total,closed_sessions,gc_count,gc_ms,broadcast_blocked_ms,oom
0,34.7,123.8,236,236,1419,0,0.00,0,0.00,0,0,5,41,810,0
2,34.9,123.8,296,60,360,0,0.00,0,0.00,0,0,5,41,1709,0
3,35.1,123.8,356,60,360,0,0.00,0,0.00,0,0,5,41,2612,0
4,35.4,123.8,416,60,360,0,0.00,0,0.00,0,0,5,41,3520,0
5,35.7,123.8,476,60,360,0,0.00,0,0.00,0,0,5,41,4436,0
6,35.9,123.8,536,60,360,0,0.00,0,0.00,0,0,5,41,5342,0
7,36.2,123.8,596,60,360,0,0.00,0,0.00,0,0,5,41,6169,0
8,36.4,123.8,656,60,360,0,0.00,0,0.00,0,0,5,41,7075,0
9,36.7,123.8,716,60,360,0,0.00,0,0.00,0,0,5,41,7935,0
10,37.3,123.8,828,112,669,0,0.00,0,0.00,0,0,5,41,9755,0
11,37.5,123.8,896,68,411,0,0.00,0,0.00,0,0,5,41,10688,0
12,37.8,123.8,956,60,360,0,0.00,0,0.00,0,0,5,41,11615,0
13,38.0,123.8,1016,60,360,0,0.00,0,0.00,0,0,5,41,12430,0
14,38.2,123.8,1076,60,360,0,0.00,0,0.00,0,0,5,41,13321,0
15,38.7,123.8,1136,60,360,0,0.00,0,0.00,0,0,5,41,14239,0
16,39.0,123.8,1196,60,360,0,0.00,0,0.00,0,0,5,41,15195,0
17,39.1,123.8,1256,60,360,0,0.00,0,0.00,0,0,5,41,16086,0
18,39.4,123.8,1316,60,360,0,0.00,0,0.00,0,0,5,41,17021,0
19,39.6,123.8,1376,60,360,0,0.00,0,0.00,0,0,5,41,17879,0
20,39.8,123.8,1436,60,360,0,0.00,0,0.00,0,0,5,41,18752,0
21,40.2,123.8,1495,59,354,0,0.00,0,0.00,0,0,5,41,19671,0
22,40.6,123.8,1615,120,720,0,0.00,0,0.00,0,0,5,41,21501,0
23,40.8,123.8,1675,60,360,0,0.00,0,0.00,0,0,5,41,22418,0
24,40.9,123.8,1735,60,360,0,0.00,0,0.00,0,0,5,41,23261,0
25,41.2,123.8,1795,60,360,0,0.00,0,0.00,0,0,5,41,24183,0
26,41.4,123.8,1855,60,360,0,0.00,0,0.00,0,0,5,41,25098,0
27,41.6,123.8,1915,60,360,0,0.00,0,0.00,0,0,5,41,26035,0
28,41.8,123.8,1975,60,360,0,0.00,0,0.00,0,0,5,41,26952,0
29,41.9,123.8,2035,60,360,0,0.00,0,0.00,0,0,5,41,27855,0
30,42.2,123.8,2095,60,360,0,0.00,0,0.00,0,0,5,41,28714,0
31,42.5,123.8,2155,60,360,0,0.00,0,0.00,0,0,5,41,29625,0
32,42.8,123.8,2215,60,360,0,0.00,0,0.00,0,0,5,41,30495,0
33,43.0,123.8,2275,60,360,0,0.00,0,0.00,0,0,5,41,31440,0
34,43.4,123.8,2401,126,756,0,0.00,0,0.00,0,0,5,41,33231,0
35,43.6,123.8,2461,60,360,0,0.00,0,0.00,0,0,5,41,34175,0
36,43.8,123.8,2521,60,360,0,0.00,0,0.00,0,0,5,41,35036,0
37,44.0,123.8,2581,60,360,0,0.00,0,0.00,0,0,5,41,35922,0
38,44.2,123.8,2641,60,360,0,0.00,0,0.00,0,0,5,41,36861,0
39,44.4,123.8,2701,60,360,0,0.00,0,0.00,0,0,5,41,37826,0
40,44.6,123.8,2761,60,360,0,0.00,0,0.00,0,0,5,41,38707,0
41,44.9,123.8,2821,60,360,0,0.00,0,0.00,0,0,5,41,39645,0
42,45.2,123.8,2881,60,360,0,0.00,0,0.00,0,0,5,41,40544,0
43,45.4,123.8,2940,59,354,0,0.00,0,0.00,0,0,5,41,41443,0
44,13.6,123.8,3000,60,360,0,0.00,0,0.00,0,0,6,55,42289,0
45,15.3,123.8,3468,468,360,0,0.00,0,0.00,0,6,6,55,43970,0
