# mode=terminate label=terminate-rc1000-r1 tickRate=3000 symbols=20 payloadBytes=480 queueCapacity=1000 bufferLimitBytes=1048576 sendTimeLimitMs=5000 blockingSendTimeoutMs=0 heapMaxMB=123
t_s,heap_used_mb,heap_max_mb,published,published_per_s,delivered_per_s,slow_queue_msgs,slow_queue_mb,normal_queue_msgs_max,normal_queue_mb_max,dropped_total,closed_sessions,gc_count,gc_ms,broadcast_blocked_ms,oom
0,34.6,123.8,60,60,262,16,0.01,25,0.01,0,0,5,40,0,0
1,21.8,123.8,3042,2982,15190,2799,1.28,0,0.00,0,0,6,50,0,0
2,38.8,123.8,6048,3006,15090,5745,2.62,1,0.00,0,0,6,50,0,0
3,26.0,123.8,9210,3162,15870,8685,3.97,0,0.00,0,1,7,61,0,0
4,43.5,123.8,12216,3006,15003,8685,3.97,6,0.00,0,1,7,61,0,0
5,26.8,123.8,15204,2988,14967,8685,3.97,0,0.00,0,1,8,65,0,0
6,43.2,123.8,18186,2982,14910,8685,3.97,0,0.00,0,1,8,65,0,0
7,26.7,123.8,21186,3000,14820,1605,0.73,0,0.00,0,0,9,67,0,0
8,43.3,123.8,24162,2976,14940,4521,2.07,0,0.00,0,0,9,67,0,0
9,29.1,123.8,27150,2988,15000,7449,3.40,0,0.00,0,0,10,70,0,0
10,47.0,123.8,30312,3162,15930,10335,4.72,0,0.00,0,1,10,70,0,0
11,31.5,123.8,33264,2952,14760,10335,4.72,0,0.00,0,1,11,79,0,0
12,48.1,123.8,36252,2988,14940,10335,4.72,0,0.00,0,1,11,79,0,0
13,30.2,123.8,39191,2939,14670,10335,4.72,6,0.00,0,1,12,81,0,0
14,46.9,123.8,42198,3007,14814,585,0.27,2,0.00,0,0,12,81,0,0
15,31.3,123.8,45210,3012,15126,3537,1.62,0,0.00,0,0,13,84,0,0
16,47.9,123.8,48192,2982,14970,6459,2.95,0,0.00,0,0,13,84,0,0
17,34.8,123.8,51336,3144,15780,9387,4.29,0,0.00,0,1,14,88,0,0
18,51.4,123.8,54348,3012,15060,9387,4.29,0,0.00,0,1,14,88,0,0
19,34.1,123.8,57336,2988,14940,9387,4.29,0,0.00,0,1,15,92,0,0
20,50.8,123.8,60330,2994,14970,9387,4.29,0,0.00,0,1,15,92,0,0
21,34.4,123.8,63312,2982,14720,2259,1.03,2,0.00,0,0,16,96,0,0
22,51.2,123.8,66312,3000,15047,5199,2.37,6,0.00,0,0,16,96,0,0
23,37.6,123.8,69336,3024,15263,7947,3.63,0,0.00,0,1,17,101,0,0
24,54.2,123.8,72318,2982,14910,7947,3.63,0,0.00,0,1,17,101,0,0
25,36.5,123.8,75252,2934,14670,7947,3.63,0,0.00,0,1,18,104,0,0
26,52.6,123.8,78234,2982,14888,7947,3.63,6,0.00,0,1,18,104,0,0
27,36.2,123.8,81246,3012,14872,1035,0.47,6,0.00,0,0,19,105,0,0
28,52.8,123.8,84222,2976,14970,3951,1.80,0,0.00,0,0,19,105,0,0
29,38.8,123.8,87222,3000,15048,6891,3.15,6,0.00,0,0,20,108,0,0
30,56.4,123.8,90366,3144,15792,9825,4.49,0,0.00,0,1,20,108,0,0
31,40.5,123.8,93300,2934,14670,9825,4.49,0,0.00,0,1,21,114,1,0
32,56.7,123.8,96296,2996,14970,9825,4.49,4,0.00,0,1,21,114,1,0
33,39.2,123.8,99258,2962,14820,9825,4.49,0,0.00,0,1,22,116,1,0
34,56.4,123.8,102264,3006,14910,2714,1.24,0,0.00,0,0,22,116,1,0
35,41.8,123.8,105273,3009,15105,5663,2.59,1,0.00,0,0,23,124,1,0
36,59.8,123.8,108438,3165,15885,8612,3.93,0,0.00,0,1,23,124,1,0
37,75.8,123.8,111444,3006,15030,8612,3.93,0,0.00,0,1,24,130,1,0
38,60.1,123.8,114432,2988,14940,8612,3.93,0,0.00,0,1,24,130,1,0
39,76.2,123.8,117426,2994,14940,8612,3.93,6,0.00,0,1,24,130,1,0
40,59.8,123.8,120414,2988,14790,1593,0.73,0,0.00,0,0,25,131,1,0
41,76.2,123.8,123384,2970,14892,4503,2.06,6,0.00,0,0,25,131,1,0
42,61.4,123.8,126360,2976,14958,7419,3.39,0,0.00,0,0,26,138,1,0
43,79.0,123.8,129474,3114,15690,10257,4.69,0,0.00,0,1,26,138,2,0
44,64.3,123.8,132420,2946,14701,10257,4.69,5,0.00,0,1,27,142,2,0
