# mode=terminate label=terminate-tight-r2 tickRate=3000 symbols=20 payloadBytes=480 queueCapacity=1000 bufferLimitBytes=524288 sendTimeLimitMs=5000 blockingSendTimeoutMs=0 heapMaxMB=123
t_s,heap_used_mb,heap_max_mb,published,published_per_s,delivered_per_s,slow_queue_msgs,slow_queue_mb,normal_queue_msgs_max,normal_queue_mb_max,dropped_total,closed_sessions,gc_count,gc_ms,broadcast_blocked_ms,oom
1,23.4,123.8,3114,3114,15812,2709,1.24,0,0.00,0,1,6,48,0,0
2,40.6,123.8,6120,3006,15030,2709,1.24,0,0.00,0,1,6,48,0,0
3,23.8,123.8,9114,2994,14940,2709,1.24,6,0.00,0,1,7,54,0,0
4,39.4,123.8,11964,2850,14280,2709,1.24,0,0.00,0,1,7,54,37,0
5,22.3,123.8,14976,3012,15036,2709,1.24,6,0.00,0,1,8,56,38,0
6,38.9,123.8,17982,3006,15024,2709,1.24,6,0.00,0,1,8,56,38,0
7,21.8,123.8,20988,3006,15060,2709,1.24,0,0.00,0,1,9,56,38,0
8,38.4,123.8,24000,3012,15030,2709,1.24,6,0.00,0,1,9,56,38,0
9,20.8,123.8,27012,3012,15090,2709,1.24,0,0.00,0,1,10,57,38,0
10,36.9,123.8,29952,2940,14700,2709,1.24,0,0.00,0,1,10,57,38,0
11,20.1,123.8,32964,3012,15060,2709,1.24,0,0.00,0,1,11,59,38,0
12,36.5,123.8,35976,3012,15060,2709,1.24,0,0.00,0,1,11,59,38,0
13,18.9,123.8,38982,3006,15001,2709,1.24,6,0.00,0,1,12,60,38,0
14,35.4,123.8,41970,2988,14969,2709,1.24,0,0.00,0,1,12,60,38,0
15,18.2,123.8,44982,3012,15030,2709,1.24,6,0.00,0,1,13,61,38,0
16,34.9,123.8,47988,3006,15060,2709,1.24,3,0.00,0,1,13,61,39,0
17,17.5,123.8,50994,3006,15030,2709,1.24,0,0.00,0,1,14,62,39,0
18,34.2,123.8,54000,3006,15030,2709,1.24,0,0.00,0,1,14,62,39,0
19,16.2,123.8,56970,2970,14850,2709,1.24,0,0.00,0,1,15,64,39,0
20,33.0,123.8,59968,2998,14970,2709,1.24,6,0.00,0,1,15,64,39,0
21,15.5,123.8,62958,2990,14970,2709,1.24,0,0.00,0,1,16,65,39,0
22,31.8,123.8,65964,3006,15030,2709,1.24,0,0.00,0,1,16,65,39,0
23,48.5,123.8,68946,2982,14905,2709,1.24,4,0.00,0,1,16,65,39,0
24,31.0,123.8,71898,2952,14765,2709,1.24,0,0.00,0,1,17,68,40,0
25,46.5,123.8,74730,2832,14160,2709,1.24,0,0.00,0,1,17,68,40,0
26,29.0,123.8,77712,2982,14910,2709,1.24,0,0.00,0,1,18,70,40,0
27,45.3,123.8,80724,3012,15060,2709,1.24,0,0.00,0,1,18,70,40,0
28,28.0,123.8,83694,2970,14850,2709,1.24,0,0.00,0,1,19,73,41,0
29,44.5,123.8,86658,2964,14790,2709,1.24,6,0.00,0,1,19,73,41,0
30,26.3,123.8,89511,2853,14280,2709,1.24,6,0.00,0,1,20,76,41,0
31,42.6,123.8,92514,3003,15030,2709,1.24,0,0.00,0,1,20,76,41,0
32,25.6,123.8,95508,2994,14970,2709,1.24,0,0.00,0,1,21,77,41,0
33,41.8,123.8,98460,2952,14760,2709,1.24,0,0.00,0,1,21,77,42,0
34,24.3,123.8,101434,2974,14850,2709,1.24,6,0.00,0,1,22,81,42,0
35,40.5,123.8,104406,2972,14880,2709,1.24,0,0.00,0,1,22,81,42,0
36,22.9,123.8,107406,3000,15000,2709,1.24,0,0.00,0,1,23,82,42,0
37,39.1,123.8,110358,2952,14730,2709,1.24,6,0.00,0,1,23,82,42,0
38,22.3,123.8,113352,2994,14970,2709,1.24,6,0.00,0,1,24,83,43,0
39,38.5,123.8,116340,2988,14970,2709,1.24,0,0.00,0,1,24,83,43,0
40,20.9,123.8,119328,2988,14940,2709,1.24,0,0.00,0,1,25,85,43,0
41,37.8,123.8,122323,2995,14971,2709,1.24,1,0.00,0,1,25,85,43,0
42,20.2,123.8,125334,3011,15030,2709,1.24,6,0.00,0,1,26,87,44,0
43,35.7,123.8,128214,2880,14369,2709,1.24,12,0.01,0,1,26,87,45,0
44,18.9,123.8,131196,2982,14970,2709,1.24,0,0.00,0,1,27,89,45,0
45,32.6,123.8,134178,2982,12044,2709,1.24,11,0.01,0,6,27,89,45,0
