# mode=unbounded label=unbounded-r3 tickRate=3000 symbols=20 payloadBytes=480 queueCapacity=1000 bufferLimitBytes=1048576 sendTimeLimitMs=5000 blockingSendTimeoutMs=0 heapMaxMB=123
t_s,heap_used_mb,heap_max_mb,published,published_per_s,delivered_per_s,slow_queue_msgs,slow_queue_mb,normal_queue_msgs_max,normal_queue_mb_max,dropped_total,closed_sessions,gc_count,gc_ms,broadcast_blocked_ms,oom
0,21.5,123.8,2832,2832,14402,2589,1.18,0,0.00,0,0,6,51,1,0
1,38.3,123.8,5844,3012,15120,5541,2.53,0,0.00,0,0,6,51,1,0
2,24.6,123.8,8820,2976,14940,8457,3.86,0,0.00,0,0,7,59,1,0
3,41.3,123.8,11814,2994,15030,11392,5.20,2,0.00,0,0,7,59,1,0
4,27.2,123.8,14790,2976,14940,14311,6.54,5,0.00,0,0,8,66,1,0
5,44.1,123.8,17802,3012,15120,17259,7.88,0,0.00,0,0,8,66,1,0
6,28.9,123.8,20568,2766,13890,19965,9.12,0,0.00,0,0,9,74,3,0
7,45.6,123.8,23538,2970,14910,22876,10.45,1,0.00,0,0,9,74,3,0
8,31.5,123.8,26532,2994,15090,25749,11.76,0,0.00,0,0,10,82,3,0
9,48.0,123.8,29508,2976,14940,28665,13.09,0,0.00,0,0,10,82,3,0
10,32.9,123.8,32292,2784,13950,31389,14.34,6,0.00,0,0,11,87,3,0
11,49.6,123.8,35304,3012,15150,34341,15.69,0,0.00,0,0,11,87,3,0
12,35.3,123.8,38250,2946,14775,37227,17.01,6,0.00,0,0,12,96,3,0
14,52.3,123.8,41238,2988,15015,40155,18.34,0,0.00,0,0,12,96,3,0
15,37.9,123.8,44202,2964,14880,43059,19.67,0,0.00,0,0,13,107,3,0
16,54.9,123.8,47208,3006,15066,46005,21.02,6,0.00,0,0,13,107,3,0
17,71.4,123.8,50172,2964,14903,48909,22.34,0,0.00,0,0,13,107,3,0
18,57.9,123.8,53190,3018,15182,51807,23.67,6,0.00,0,0,14,117,3,0
19,74.6,123.8,56184,2994,15030,54741,25.01,6,0.00,0,0,14,117,3,0
20,60.4,123.8,59160,2976,14968,57663,26.34,5,0.00,0,0,15,127,3,0
21,77.1,123.8,62178,3018,15150,60616,27.69,0,0.00,0,0,15,127,3,0
22,62.6,123.8,65142,2964,14883,63526,29.02,6,0.00,0,0,16,136,5,0
23,77.4,123.8,67746,2604,13077,66064,30.18,1,0.00,0,0,16,136,7,0
24,63.2,123.8,70728,2982,14970,68992,31.52,6,0.00,0,0,17,139,7,0
25,80.0,123.8,73722,2994,15018,71920,32.85,6,0.00,0,0,17,139,7,0
26,65.9,123.8,76686,2964,14952,74764,34.15,0,0.00,0,0,18,148,7,0
27,82.7,123.8,79686,3000,15060,77704,35.50,0,0.00,0,0,18,148,8,0
28,67.8,123.8,82476,2790,14010,80434,36.74,0,0.00,0,0,19,152,20,0
29,84.6,123.8,85482,3006,15090,83380,38.09,0,0.00,0,0,19,152,21,0
30,70.5,123.8,88482,3000,15030,86320,39.43,6,0.00,0,0,20,156,23,0
31,87.3,123.8,91470,2988,15000,89248,40.77,6,0.00,0,0,20,156,23,0
32,73.0,123.8,94440,2970,14940,92158,42.10,0,0.00,0,0,21,165,24,0
33,89.8,123.8,97440,3000,15060,95104,43.44,6,0.00,0,0,21,165,24,0
34,76.3,123.8,100428,2988,15000,98026,44.78,0,0.00,0,0,22,175,24,0
35,92.5,123.8,103402,2974,14970,100882,46.08,6,0.00,0,0,22,175,24,0
36,79.0,123.8,106386,2984,14975,103804,47.42,5,0.00,0,0,23,179,24,0
37,95.6,123.8,109368,2982,14995,106726,48.75,0,0.00,0,0,23,179,24,0
38,80.9,123.8,112290,2922,14670,109588,50.06,0,0.00,0,0,24,190,24,0
39,97.8,123.8,115236,2946,14790,112474,51.38,0,0.00,0,0,24,190,24,0
40,83.5,123.8,118212,2976,14927,115390,52.71,5,0.00,0,0,25,199,24,0
41,100.2,123.8,121200,2988,15013,118318,54.05,0,0.00,0,0,25,199,24,0
42,86.7,123.8,124200,3000,15059,121259,55.39,0,0.00,0,0,26,203,24,0
43,103.6,123.8,127206,3006,15150,124145,56.71,0,0.00,0,0,26,203,24,0
44,89.4,123.8,130194,2988,15000,127073,58.05,0,0.00,0,0,27,211,24,0
45,106.2,123.8,133188,2994,15030,130007,59.39,0,0.00,0,0,27,211,24,0
46,92.0,123.8,136146,2958,14850,132905,60.71,0,0.00,0,0,28,220,24,0
47,108.8,123.8,139104,2958,14850,135808,62.04,6,0.00,0,0,28,220,25,0
48,92.6,123.8,141714,2610,13110,138359,63.20,6,0.00,0,0,30,355,25,0
49,109.4,123.8,144702,2988,15000,141281,64.54,0,0.00,0,0,30,355,25,0
50,92.4,123.8,147360,2658,13266,143879,65.73,17,0.01,0,0,31,486,25,0
51,109.0,123.8,150351,2991,15084,146813,67.07,6,0.00,0,0,31,486,25,0
52,91.5,123.8,153042,2691,13449,149441,68.27,17,0.01,0,0,32,641,25,0
53,108.5,123.8,156036,2994,15177,152309,69.58,0,0.00,0,0,32,641,25,0
54,94.6,123.8,158874,2838,14239,155088,70.85,7,0.00,0,0,33,767,25,0
55,111.5,123.8,161886,3012,15103,158039,72.19,6,0.00,0,0,33,767,25,0
56,99.9,123.8,164538,2652,13329,160631,73.38,6,0.00,0,0,34,885,25,0
57,116.2,123.8,167508,2970,14929,163541,74.71,0,0.00,0,0,34,885,25,0
58,105.6,123.8,169794,2286,11490,165767,75.72,0,0.00,0,0,35,1075,25,0
59,121.7,123.8,172788,2994,15030,168701,77.06,0,0.00,0,0,35,1075,25,0
60,115.1,123.8,175446,2658,13410,171245,78.23,6,0.00,0,0,36,1192,25,0
61,109.7,123.8,178074,2628,13200,173807,79.40,0,0.00,0,0,37,1316,25,0
62,106.0,123.8,180637,2563,12840,176315,80.54,11,0.01,0,0,38,1464,25,0
63,122.2,123.8,183556,2919,14669,179172,81.85,6,0.00,0,0,38,1464,25,0
64,120.3,123.8,186084,2528,12720,181638,82.97,0,0.00,0,0,39,1618,26,0
65,120.0,123.8,188682,2598,13050,184176,84.13,0,0.00,0,0,40,1760,26,0
66,121.6,123.8,191334,2652,13320,186768,85.32,0,0.00,0,0,41,1882,26,0
67,113.1,123.8,193878,2544,12699,189252,86.45,17,0.01,0,0,43,2197,26,0
68,117.4,123.8,196392,2514,12771,191646,87.55,0,0.00,0,0,44,2361,26,0
69,122.8,123.8,198972,2580,12960,194166,88.70,0,0.00,0,0,45,2498,26,0
70,119.6,123.8,201144,2172,10920,196278,89.66,0,0.00,0,0,47,2778,26,0
71,118.5,123.8,203208,2064,10380,198288,90.58,6,0.00,0,0,49,3092,176,0
72,119.1,123.8,205182,1974,9930,200196,91.45,0,0.00,0,0,51,3439,176,0
73,120.3,123.8,206928,1746,8790,201882,92.22,0,0.00,0,0,53,3862,176,0
74,123.1,123.8,208698,1770,8910,203592,93.00,0,0.00,0,0,55,4277,176,0
75,122.9,123.8,210144,1446,7290,204978,93.64,0,0.00,0,0,58,4801,176,0
76,123.3,123.8,211332,1188,6040,206046,94.12,6,0.00,0,0,61,5414,176,0
77,122.5,123.8,212232,900,4568,206893,94.51,12,0.01,0,0,65,6230,367,0
78,122.9,123.8,213024,792,4027,207630,94.85,13,0.01,0,0,69,6994,367,0
79,123.2,123.8,213684,660,3335,208224,95.12,11,0.01,0,0,74,7973,570,0
81,123.4,123.8,214098,414,2153,208575,95.28,6,0.00,0,0,79,9025,570,0
82,123.5,123.8,214381,283,1448,208800,95.38,11,0.01,0,0,84,9986,1206,0
83,123.6,123.8,214578,197,1079,208872,95.41,12,0.01,0,0,89,11042,1206,0
84,123.6,123.8,214718,140,811,208953,95.45,2,0.00,0,0,94,12087,1829,0
85,123.6,123.8,214848,130,659,209023,95.48,12,0.01,0,0,99,13072,2041,0
86,123.6,123.8,214933,85,564,209024,95.48,0,0.00,0,0,104,14120,2252,0
87,123.6,123.8,215038,105,582,209070,95.51,3,0.00,0,0,109,15165,2252,0
88,123.7,123.8,215124,86,501,209090,95.51,2,0.00,0,0,114,16173,2252,0
89,123.7,123.8,215190,66,406,209082,95.51,14,0.01,0,0,120,17444,2252,0
90,123.6,123.8,215286,96,530,209101,95.52,5,0.00,0,0,125,18470,2252,0
