# mode=conflate label=conflate-r2 tickRate=3000 symbols=20 payloadBytes=480 queueCapacity=1000 bufferLimitBytes=1048576 sendTimeLimitMs=5000 blockingSendTimeoutMs=0 heapMaxMB=123
t_s,heap_used_mb,heap_max_mb,published,published_per_s,delivered_per_s,slow_queue_msgs,slow_queue_mb,normal_queue_msgs_max,normal_queue_mb_max,dropped_total,closed_sessions,gc_count,gc_ms,broadcast_blocked_ms,oom
0,21.8,123.8,2826,2826,14315,0,0.00,0,0.00,2641,0,6,48,0,0
1,41.0,123.8,5838,3012,15141,20,0.01,0,0.00,5551,0,6,48,0,0
2,26.1,123.8,8820,2982,14970,20,0.01,0,0.00,8473,0,7,52,0,0
3,45.1,123.8,11838,3018,15150,20,0.01,1,0.00,11431,0,7,52,0,0
4,30.3,123.8,14838,3000,15060,20,0.01,0,0.00,14371,0,8,54,2,0
5,15.2,123.8,17820,2982,14940,20,0.01,6,0.00,17293,0,9,57,2,0
6,34.2,123.8,20820,3000,15090,20,0.01,0,0.00,20233,0,9,57,4,0
7,19.2,123.8,23802,2982,14970,20,0.01,0,0.00,23155,0,10,59,4,0
8,37.9,123.8,26714,2912,14670,20,0.01,6,0.00,25951,0,10,59,9,0
9,22.7,123.8,29728,3014,15120,20,0.01,6,0.00,28903,0,11,61,9,0
10,41.8,123.8,32736,3008,15120,20,0.01,1,0.00,31850,0,11,61,10,0
11,26.7,123.8,35706,2970,14910,20,0.01,0,0.00,34759,0,12,64,13,0
13,45.7,123.8,38706,3000,15030,20,0.01,6,0.00,37699,0,12,64,13,0
14,30.8,123.8,41688,2982,15000,20,0.01,1,0.00,40621,0,13,66,13,0
15,15.3,123.8,44700,3012,15120,20,0.01,0,0.00,43573,0,14,67,13,0
16,34.7,123.8,47706,3006,15090,20,0.01,0,0.00,46519,0,14,67,13,0
17,19.4,123.8,50712,3006,15117,0,0.00,0,0.00,49459,0,15,68,14,0
18,38.2,123.8,53700,2988,15008,20,0.01,6,0.00,52333,0,15,68,14,0
19,23.5,123.8,56682,2982,14995,20,0.01,0,0.00,55255,0,16,71,14,0
20,41.2,123.8,59514,2832,14219,20,0.01,0,0.00,58028,0,16,71,14,0
21,26.1,123.8,62460,2946,14771,20,0.01,5,0.00,60914,0,17,73,35,0
22,45.0,123.8,65454,2994,15049,20,0.01,0,0.00,63848,0,17,73,35,0
23,30.2,123.8,68460,3006,15090,20,0.01,0,0.00,66794,0,18,75,35,0
24,14.0,123.8,71286,2826,14190,20,0.01,4,0.00,69564,0,19,77,35,0
25,32.9,123.8,74250,2964,14877,20,0.01,1,0.00,72464,0,19,77,36,0
26,18.1,123.8,77232,2982,14975,20,0.01,17,0.01,75326,0,20,79,36,0
27,37.0,123.8,80232,3000,15118,20,0.01,1,0.00,78267,0,20,79,37,0
28,21.9,123.8,83196,2964,14880,20,0.01,0,0.00,81170,0,21,81,37,0
29,41.0,123.8,86202,3006,15082,20,0.01,3,0.00,84116,0,21,81,37,0
30,26.1,123.8,89208,3006,15098,20,0.01,0,0.00,87062,0,22,82,37,0
31,44.5,123.8,92184,2976,14940,20,0.01,0,0.00,89978,0,22,82,37,0
32,29.5,123.8,95178,2994,15001,20,0.01,6,0.00,92912,0,23,83,37,0
33,14.7,123.8,98160,2982,14999,20,0.01,0,0.00,95834,0,24,85,37,0
34,33.5,123.8,101170,3010,15095,20,0.01,6,0.00,98786,0,24,85,37,0
35,18.8,123.8,104154,2984,15041,20,0.01,6,0.00,101648,0,25,86,38,0
36,37.6,123.8,107148,2994,15044,20,0.01,0,0.00,104582,0,25,86,38,0
37,22.8,123.8,110154,3006,15090,20,0.01,0,0.00,107528,0,26,88,38,0
38,41.6,123.8,113136,2982,14970,20,0.01,1,0.00,110450,0,26,88,38,0
39,26.8,123.8,116118,2982,14970,20,0.01,0,0.00,113372,0,27,90,38,0
40,45.7,123.8,119112,2994,15030,20,0.01,0,0.00,116306,0,27,90,38,0
41,30.8,123.8,122118,3006,15090,20,0.01,0,0.00,119252,0,28,90,38,0
42,16.0,123.8,125124,3006,15089,20,0.01,0,0.00,122199,0,29,91,38,0
43,34.9,123.8,128100,2976,14982,20,0.01,6,0.00,125055,0,29,91,38,0
44,20.1,123.8,131100,3000,15048,20,0.01,6,0.00,127995,0,30,93,38,0
45,38.5,123.8,134106,3006,13514,20,0.01,5,0.00,130923,6,30,93,38,0
