# mode=direct label=direct-s2-r1 tickRate=3000 symbols=20 payloadBytes=480 queueCapacity=1000 bufferLimitBytes=1048576 sendTimeLimitMs=5000 blockingSendTimeoutMs=0 heapMaxMB=123
t_s,heap_used_mb,heap_max_mb,published,published_per_s,delivered_per_s,slow_queue_msgs,slow_queue_mb,normal_queue_msgs_max,normal_queue_mb_max,dropped_total,closed_sessions,gc_count,gc_ms,broadcast_blocked_ms,oom
0,35.3,123.8,182,182,1276,0,0.00,0,0.00,0,0,5,45,52,0
1,35.8,123.8,294,112,782,0,0.00,0,0.00,0,0,5,45,1804,0
2,36.1,123.8,356,62,436,0,0.00,0,0.00,0,0,5,45,2652,0
3,36.3,123.8,404,48,338,0,0.00,0,0.00,0,0,5,45,3473,0
4,36.6,123.8,464,60,418,0,0.00,0,0.00,0,0,5,45,4318,0
5,36.8,123.8,524,60,420,0,0.00,0,0.00,0,0,5,45,5201,0
6,37.2,123.8,584,60,420,0,0.00,0,0.00,0,0,5,45,6139,0
7,37.4,123.8,644,60,420,0,0.00,0,0.00,0,0,5,45,7052,0
8,37.7,123.8,704,60,420,0,0.00,0,0.00,0,0,5,45,7964,0
9,38.4,123.8,812,108,756,0,0.00,0,0.00,0,0,5,45,9597,0
10,38.5,123.8,860,48,338,0,0.00,0,0.00,0,0,5,45,10449,0
11,38.8,123.8,920,60,418,0,0.00,0,0.00,0,0,5,45,11216,0
12,39.3,123.8,968,48,338,0,0.00,0,0.00,0,0,5,45,12029,0
13,39.6,123.8,1028,60,418,0,0.00,0,0.00,0,0,5,45,12870,0
14,40.1,123.8,1136,108,756,0,0.00,0,0.00,0,0,5,45,14563,0
15,40.2,123.8,1184,48,338,0,0.00,0,0.00,0,0,5,45,15359,0
16,40.4,123.8,1244,60,420,0,0.00,0,0.00,0,0,5,45,16220,0
17,40.7,123.8,1304,60,418,0,0.00,0,0.00,0,0,5,45,17039,0
18,40.8,123.8,1352,48,338,0,0.00,0,0.00,0,0,5,45,17906,0
19,41.1,123.8,1412,60,418,0,0.00,0,0.00,0,0,5,45,18718,0
20,41.7,123.8,1519,107,749,0,0.00,0,0.00,0,0,5,45,20318,0
21,41.9,123.8,1567,48,338,0,0.00,0,0.00,0,0,5,45,21194,0
22,42.0,123.8,1627,60,418,0,0.00,0,0.00,0,0,5,45,21974,0
23,42.2,123.8,1675,48,338,0,0.00,0,0.00,0,0,5,45,22869,0
24,42.5,123.8,1735,60,418,0,0.00,0,0.00,0,0,5,45,23643,0
26,42.9,123.8,1843,108,756,0,0.00,0,0.00,0,0,5,45,25301,0
27,43.1,123.8,1891,48,338,0,0.00,0,0.00,0,0,5,45,26163,0
28,43.3,123.8,1951,60,418,0,0.00,0,0.00,0,0,5,45,26969,0
29,43.5,123.8,1999,48,338,0,0.00,0,0.00,0,0,5,45,27785,0
30,43.7,123.8,2059,60,418,0,0.00,0,0.00,0,0,5,45,28595,0
31,44.3,123.8,2167,108,756,0,0.00,0,0.00,0,0,5,45,30250,0
32,44.4,123.8,2215,48,338,0,0.00,0,0.00,0,0,5,45,31138,0
33,44.7,123.8,2275,60,418,0,0.00,0,0.00,0,0,5,45,31875,0
34,44.9,123.8,2323,48,338,0,0.00,0,0.00,0,0,5,45,32686,0
35,45.1,123.8,2383,60,418,0,0.00,0,0.00,0,0,5,45,33465,0
36,45.5,123.8,2491,108,756,0,0.00,0,0.00,0,0,5,45,35121,0
37,13.6,123.8,2539,48,338,0,0.00,0,0.00,0,0,6,57,35950,0
38,14.1,123.8,2599,60,418,0,0.00,0,0.00,0,0,6,57,36772,0
39,14.5,123.8,2647,48,338,0,0.00,0,0.00,0,0,6,57,37599,0
40,14.8,123.8,2707,60,418,0,0.00,0,0.00,0,0,6,57,38387,0
41,15.3,123.8,2815,108,756,0,0.00,0,0.00,0,0,6,57,40043,0
42,15.5,123.8,2863,48,338,0,0.00,0,0.00,0,0,6,57,40939,0
43,15.9,123.8,2922,59,411,0,0.00,0,0.00,0,0,6,57,41690,0
44,16.1,123.8,2970,48,338,0,0.00,0,0.00,0,0,6,57,42600,0
45,16.8,123.8,3102,132,418,0,0.00,0,0.00,0,7,6,57,44002,0
