# mode=terminate label=terminate-s4-r1 tickRate=3000 symbols=20 payloadBytes=480 queueCapacity=1000 bufferLimitBytes=1048576 sendTimeLimitMs=5000 blockingSendTimeoutMs=0 heapMaxMB=123
t_s,heap_used_mb,heap_max_mb,published,published_per_s,delivered_per_s,slow_queue_msgs,slow_queue_mb,normal_queue_msgs_max,normal_queue_mb_max,dropped_total,closed_sessions,gc_count,gc_ms,broadcast_blocked_ms,oom
0,34.8,123.8,6,6,0,5,0.00,5,0.00,0,0,5,45,0,0
1,23.7,123.8,2994,2988,16811,2761,1.26,6,0.00,0,0,6,53,0,0
2,41.2,123.8,6000,3006,15232,5713,2.61,0,0.00,0,0,6,53,0,0
3,31.4,123.8,9498,3498,17670,8995,4.11,0,0.00,0,3,7,58,0,0
4,49.6,123.8,12630,3132,15660,11326,5.17,0,0.00,0,4,7,58,0,0
5,35.4,123.8,15624,2994,14970,11326,5.17,0,0.00,0,4,8,61,0,0
6,51.7,123.8,18636,3012,15060,11326,5.17,0,0.00,0,4,8,61,0,0
7,34.0,123.8,21582,2946,14730,11326,5.17,0,0.00,0,4,9,64,5,0
8,50.5,123.8,24546,2964,14820,11326,5.17,6,0.00,0,4,9,64,5,0
9,33.2,123.8,27540,2994,14970,11326,5.17,0,0.00,0,4,10,65,5,0
10,49.5,123.8,30516,2976,14880,11326,5.17,0,0.00,0,4,10,65,7,0
11,32.2,123.8,33504,2988,14910,11326,5.17,6,0.00,0,4,11,66,7,0
12,48.6,123.8,36510,3006,15030,11326,5.17,6,0.00,0,4,11,66,8,0
13,31.2,123.8,39468,2958,14808,11326,5.17,6,0.00,0,4,12,67,8,0
14,47.4,123.8,42450,2982,14922,11326,5.17,0,0.00,0,4,12,67,8,0
15,30.0,123.8,45459,3009,15030,11326,5.17,6,0.00,0,4,13,68,8,0
16,46.5,123.8,48468,3009,15060,11326,5.17,0,0.00,0,4,13,68,8,0
17,29.4,123.8,51480,3012,15060,11326,5.17,2,0.00,0,4,14,69,8,0
18,46.0,123.8,54468,2988,14913,11326,5.17,6,0.00,0,4,14,69,9,0
19,28.1,123.8,57450,2982,14907,11326,5.17,6,0.00,0,4,15,70,9,0
20,44.8,123.8,60449,2999,15000,11326,5.17,6,0.00,0,4,15,70,10,0
21,27.4,123.8,63456,3007,15046,11326,5.17,6,0.00,0,4,16,71,10,0
22,43.6,123.8,66438,2982,14924,11326,5.17,1,0.00,0,4,16,71,10,0
23,26.1,123.8,69414,2976,14852,11326,5.17,6,0.00,0,4,17,72,10,0
24,42.7,123.8,72402,2988,14968,11326,5.17,0,0.00,0,4,17,72,10,0
25,25.4,123.8,75396,2994,14940,11326,5.17,6,0.00,0,4,18,73,10,0
26,41.6,123.8,78402,3006,15060,11326,5.17,0,0.00,0,4,18,73,10,0
27,24.1,123.8,81360,2958,14775,11326,5.17,6,0.00,0,4,19,75,10,0
28,41.0,123.8,84354,2994,14985,11326,5.17,0,0.00,0,4,19,75,10,0
29,23.4,123.8,87342,2988,14921,11326,5.17,6,0.00,0,4,20,76,10,0
30,39.6,123.8,90330,2988,14959,11326,5.17,0,0.00,0,4,20,76,10,0
31,22.1,123.8,93318,2988,14916,11326,5.17,6,0.00,0,4,21,77,13,0
32,38.9,123.8,96288,2970,14874,11326,5.17,0,0.00,0,4,21,77,13,0
33,21.4,123.8,99246,2958,14790,11326,5.17,0,0.00,0,4,22,78,13,0
34,37.6,123.8,102240,2994,14948,11326,5.17,6,0.00,0,4,22,78,14,0
35,53.8,123.8,105198,2958,14812,11326,5.17,0,0.00,0,4,22,78,14,0
36,36.2,123.8,108120,2922,14580,11326,5.17,6,0.00,0,4,23,79,14,0
37,52.4,123.8,111090,2970,14857,11326,5.17,6,0.00,0,4,23,79,14,0
38,34.9,123.8,114054,2964,14843,11326,5.17,0,0.00,0,4,24,80,14,0
39,51.2,123.8,117036,2982,14910,11326,5.17,0,0.00,0,4,24,80,14,0
40,33.6,123.8,120012,2976,14880,11326,5.17,0,0.00,0,4,25,82,14,0
41,50.0,123.8,122970,2958,14763,11326,5.17,6,0.00,0,4,25,82,14,0
42,32.3,123.8,125916,2946,14757,11326,5.17,0,0.00,0,4,26,83,14,0
43,48.3,123.8,128808,2892,14430,11326,5.17,6,0.00,0,4,26,83,14,0
44,30.8,123.8,131772,2964,14850,11326,5.17,0,0.00,0,4,27,84,14,0
45,41.9,123.8,134634,2862,8833,11326,5.17,4,0.00,0,9,27,84,16,0
