mode,run,seconds,published,publish_per_s,heap_peak_mb,heap_end_mb,slow_queue_peak_mb,gc_ms,broadcast_blocked_ms,closed_sessions,oom,recv_total,lat_p50_ms,lat_p95_ms,lat_p99_ms,lat_max_ms,worst_client_p95_ms,last_seq_min,slow_closed_at_s
baseline,1,44,132036,3001,47.3,20.6,0.00,137,133,0,0,669288,0,1,1,16,1,133848,n/a
baseline,2,45,133416,2965,47.3,23.9,0.00,131,170,5,0,664812,0,1,1,42,1,132954,n/a
baseline,3,45,133836,2974,47.2,23.9,0.00,129,146,5,0,667254,0,1,1,45,1,133446,n/a
bounded,1,45,134160,2981,47.7,14.1,0.46,112,16,6,0,668554,0,1,2,23,1,133704,none
bounded,2,45,134118,2980,47.7,15.0,0.46,121,12,6,0,668454,0,1,2,22,1,133686,none
bounded,3,45,133758,2972,47.4,44.5,0.46,112,48,6,0,667000,0,1,2,44,1,133392,none
combo,1,45,133662,2970,47.1,34.6,0.01,104,45,6,0,665497,0,1,2,27,1,133128,none
combo,2,45,133668,2970,46.4,35.6,0.01,103,37,6,0,665724,1,1,2,25,1,133158,none
combo,3,45,134004,2978,46.2,35.8,0.01,96,33,6,0,667183,0,1,2,27,1,133434,none
combo-stalled,1,45,133542,2968,44.9,43.4,0.01,164,36,6,0,664505,1,1,2,31,1,132912,none
combo-stalled,2,45,133770,2973,46.8,45.0,0.01,164,43,6,0,665550,1,1,2,37,1,133122,none
combo-stalled,3,45,134022,2978,46.5,46.3,0.01,98,29,6,0,666832,0,1,2,24,1,133386,none
conflate,1,45,133494,2967,46.6,33.4,0.01,91,50,6,0,664505,0,1,2,35,1,132924,none
conflate,2,45,133584,2969,47.4,34.5,0.01,93,37,6,0,665825,0,1,2,28,1,133170,none
conflate,3,45,133326,2963,46.9,32.8,0.01,98,99,6,0,664462,0,1,2,35,1,132900,none
decorator,1,45,134244,2983,47.7,39.4,0.50,111,2,6,0,668808,1,1,2,37,1,133752,2.7
decorator,2,45,134094,2980,46.8,39.1,0.50,113,8,6,0,668292,1,1,2,39,1,133650,2.7
decorator,3,45,135090,3002,47.1,45.4,0.50,115,6,6,0,673314,1,1,2,8,1,134658,2.7
direct,1,45,3402,76,45.4,15.8,0.00,56,44009,6,0,15303,0,1,2,982,1,3060,none
direct,2,45,3486,77,45.3,16.0,0.00,58,44028,6,0,15003,0,1,2,975,1,3000,none
direct,3,45,3504,78,45.4,15.9,0.00,57,44010,6,0,15213,0,1,1,976,1,3042,none
direct-s1,1,45,3102,69,45.6,16.7,0.00,62,44015,6,0,15338,0,1,5,1070,1,3067,none
direct-s2,1,45,3102,69,45.5,16.8,0.00,57,44002,7,0,15152,0,1,2,939,1,3030,none
direct-s4,1,45,3186,71,45.5,21.1,0.00,60,44029,9,0,15422,0,1,2,899,1,3084,none
direct-stalled,1,45,74574,1657,46.5,20.5,0.00,95,20170,6,0,370031,0,1,1,20065,1,74000,none
direct-stalled,2,45,74844,1663,47.2,21.3,0.00,91,20151,6,0,371906,0,1,1,20070,1,74376,none
direct-stalled,3,45,74328,1652,46.1,20.2,0.00,96,20161,6,0,369576,0,1,1,20068,1,73914,none
terminate,1,45,133968,2977,51.6,34.4,3.87,109,23,6,0,667145,0,1,2,32,1,133422,5.5
terminate,2,45,134166,2981,51.1,35.9,3.86,120,16,6,0,668016,1,1,2,42,1,133596,5.5
terminate,3,45,134064,2979,51.0,35.3,3.89,115,13,6,0,667322,1,1,2,40,1,133452,5.5
terminate-rc0,1,45,134490,2989,51.8,37.5,4.01,95,17,6,0,668790,0,1,2,16,1,133752,5.5
terminate-rc100,1,44,132282,3006,85.1,68.9,4.64,152,20,1,0,668081,0,1,2,16,1,133602,5.5
terminate-rc1000,1,44,132420,3010,79.0,64.3,4.72,142,2,1,0,669204,0,1,2,11,1,133836,5.5
terminate-s1,1,45,134424,2987,52.1,39.5,3.82,95,11,6,0,670224,0,1,2,10,1,134040,5.5
terminate-s2,1,45,134436,2987,51.7,40.3,3.83,108,22,7,0,670284,0,1,2,10,1,134052,5.5
terminate-s4,1,45,134634,2992,53.8,41.9,5.17,84,16,9,0,667666,0,1,2,27,1,133530,17.3
terminate-tight,1,45,134070,2979,48.7,30.8,1.25,109,26,6,0,666780,0,1,2,35,1,133344,3.7
terminate-tight,2,45,133734,2972,48.3,29.0,1.20,105,24,6,0,665716,1,1,2,51,1,133128,3.7
terminate-tight,3,45,133584,2969,48.4,28.6,1.22,105,53,6,0,664680,0,1,2,44,1,132924,3.7
unbounded,1,110,215344,1958,123.7,123.7,95.57,31726,3585,6,2,1076572,0,1,2,12251,1,215196,none
unbounded,2,109,216473,1986,123.7,123.7,95.55,37414,2089,0,0,1082473,0,1,2,802,1,216490,none
unbounded,3,109,216510,1986,123.7,123.7,95.55,37498,2568,0,0,1082489,0,1,3,837,1,216473,none
unbounded-s1,1,109,215096,1973,123.7,123.6,95.57,25889,2721,0,1,1075480,0,1,2,11071,1,215096,none
unbounded-s2,1,109,206346,1893,123.7,123.1,91.63,28244,3807,0,1,1031730,0,1,2,10490,1,206346,none
unbounded-s4,1,110,192581,1751,123.7,123.7,84.64,47327,5523,0,0,962760,1,1,3,755,1,192552,none
