ts,seconds_behind,io_running
1785275549.616,0,Yes
1785275550.698,0,Yes
1785275551.771,0,Yes
1785275552.846,0,Yes
1785275553.930,0,Yes
1785275555.004,0,Yes
1785275556.072,1,Yes
1785275557.148,0,Yes
1785275558.214,1,Yes
1785275559.285,0,Yes
1785275560.366,0,Yes
1785275561.441,0,Yes
1785275562.517,0,Yes
1785275563.600,0,Yes
1785275564.678,0,Yes
1785275565.767,0,Yes
1785275566.840,0,Yes
1785275567.921,0,Yes
1785275569.005,0,Yes
1785275570.081,0,Yes
1785275571.161,0,Yes
1785275572.234,0,Yes
1785275573.307,0,Yes
1785275574.379,0,Yes
1785275575.459,0,Yes
1785275576.533,0,Yes
1785275577.605,0,Yes
1785275578.689,NULL,No
1785275579.770,NULL,No
1785275580.839,NULL,No
1785275581.926,NULL,No
1785275583.010,NULL,No
1785275584.091,NULL,No
1785275585.178,NULL,No
1785275586.264,NULL,No
1785275587.346,NULL,No
1785275588.434,NULL,No
1785275589.503,NULL,No
1785275590.583,NULL,No
1785275591.643,NULL,No
1785275592.728,NULL,No
1785275593.817,NULL,No
1785275594.898,NULL,No
1785275595.976,NULL,No
1785275597.066,NULL,No
1785275598.144,NULL,No
1785275599.226,NULL,No
1785275600.310,NULL,No
1785275601.387,NULL,No
1785275602.469,NULL,No
1785275603.547,NULL,No
1785275604.620,NULL,No
1785275605.693,NULL,No
1785275606.766,NULL,No
1785275607.842,NULL,No
1785275608.925,NULL,No
1785275610.010,NULL,No
1785275611.088,NULL,No
1785275612.174,NULL,No
1785275613.248,NULL,No
