ts,seq,amount
1785275549.660,1,10000
1785275549.687,2,3000
1785275549.711,3,10000
1785275549.737,4,5000
1785275549.767,5,3000
1785275549.795,6,5000
1785275549.818,7,3000
1785275549.844,8,1000
1785275549.870,9,5000
1785275549.897,10,30000
1785275549.920,11,3000
1785275549.946,12,3000
1785275549.970,13,10000
1785275549.996,14,10000
1785275550.024,15,10000
1785275550.052,16,10000
1785275550.081,17,5000
1785275550.106,18,5000
1785275550.134,19,10000
1785275550.160,20,10000
1785275550.184,21,1000
1785275550.212,22,3000
1785275550.234,23,30000
1785275550.260,24,1000
1785275550.286,25,10000
1785275550.313,26,30000
1785275550.339,27,3000
1785275550.367,28,10000
1785275550.391,29,10000
1785275550.414,30,3000
1785275550.439,31,3000
1785275550.467,32,30000
1785275550.493,33,5000
1785275550.521,34,3000
1785275550.549,35,3000
1785275550.574,36,30000
1785275550.600,37,1000
1785275550.628,38,1000
1785275550.653,39,3000
1785275550.680,40,1000
1785275550.706,41,3000
1785275550.734,42,10000
1785275550.763,43,3000
1785275550.792,44,5000
1785275550.819,45,5000
1785275550.850,46,30000
1785275550.874,47,5000
1785275550.900,48,10000
1785275550.926,49,10000
1785275550.953,50,10000
1785275550.981,51,10000
1785275551.006,52,1000
1785275551.032,53,1000
1785275551.058,54,10000
1785275551.084,55,10000
1785275551.112,56,10000
1785275551.146,57,3000
1785275551.169,58,10000
1785275551.197,59,10000
1785275551.235,60,10000
1785275551.280,61,1000
1785275551.309,62,10000
1785275551.337,63,1000
1785275551.365,64,1000
1785275551.389,65,3000
1785275551.417,66,3000
1785275551.444,67,3000
1785275551.472,68,1000
1785275551.500,69,10000
1785275551.523,70,30000
1785275551.549,71,3000
1785275551.578,72,1000
1785275551.605,73,1000
1785275551.634,74,3000
1785275551.660,75,10000
1785275551.685,76,30000
1785275551.713,77,5000
1785275551.741,78,5000
1785275551.768,79,3000
1785275551.793,80,30000
1785275551.818,81,3000
1785275551.844,82,3000
1785275551.872,83,5000
1785275551.899,84,10000
1785275551.922,85,1000
1785275551.946,86,5000
1785275551.974,87,5000
1785275552.013,88,10000
1785275552.042,89,10000
1785275552.072,90,10000
1785275552.097,91,1000
1785275552.121,92,3000
1785275552.144,93,5000
1785275552.168,94,5000
1785275552.194,95,10000
1785275552.221,96,10000
1785275552.246,97,5000
1785275552.274,98,30000
1785275552.298,99,3000
1785275552.324,100,1000
1785275552.351,101,1000
1785275552.379,102,30000
1785275552.408,103,1000
1785275552.433,104,10000
1785275552.459,105,5000
1785275552.487,106,3000
1785275552.513,107,3000
1785275552.538,108,3000
1785275552.565,109,3000
1785275552.592,110,30000
1785275552.615,111,10000
1785275552.642,112,3000
1785275552.670,113,3000
1785275552.696,114,5000
1785275552.721,115,1000
1785275552.745,116,3000
1785275552.770,117,30000
1785275552.798,118,3000
1785275552.821,119,30000
1785275552.850,120,5000
1785275552.875,121,1000
1785275552.903,122,1000
1785275552.928,123,1000
1785275552.957,124,10000
1785275552.981,125,1000
1785275553.007,126,10000
1785275553.034,127,3000
1785275553.062,128,3000
1785275553.089,129,30000
1785275553.115,130,30000
1785275553.141,131,30000
1785275553.168,132,30000
1785275553.194,133,5000
1785275553.218,134,10000
1785275553.245,135,3000
1785275553.272,136,30000
1785275553.299,137,30000
1785275553.322,138,3000
1785275553.349,139,1000
1785275553.380,140,3000
1785275553.408,141,10000
1785275553.436,142,30000
1785275553.459,143,10000
1785275553.492,144,3000
1785275553.516,145,30000
1785275553.541,146,3000
1785275553.568,147,5000
1785275553.594,148,5000
1785275553.618,149,3000
1785275553.644,150,1000
1785275553.669,151,5000
1785275553.698,152,3000
1785275553.727,153,3000
1785275553.751,154,1000
1785275553.776,155,1000
1785275553.802,156,3000
1785275553.829,157,30000
1785275553.856,158,3000
1785275553.883,159,30000
1785275553.910,160,30000
1785275553.936,161,30000
1785275553.960,162,10000
1785275553.987,163,30000
1785275554.015,164,3000
1785275554.042,165,5000
1785275554.074,166,30000
1785275554.117,167,30000
1785275554.145,168,30000
1785275554.169,169,3000
1785275554.196,170,3000
1785275554.226,171,30000
1785275554.253,172,10000
1785275554.286,173,10000
1785275554.312,174,5000
1785275554.340,175,30000
1785275554.366,176,10000
1785275554.392,177,10000
1785275554.420,178,10000
1785275554.449,179,5000
1785275554.476,180,10000
1785275554.500,181,30000
1785275554.528,182,10000
1785275554.555,183,10000
1785275554.579,184,30000
1785275554.605,185,30000
1785275554.633,186,10000
1785275554.659,187,30000
1785275554.685,188,5000
1785275554.712,189,1000
1785275554.741,190,10000
1785275554.765,191,3000
1785275554.789,192,1000
1785275554.817,193,10000
1785275554.845,194,5000
1785275554.872,195,1000
1785275554.901,196,3000
1785275554.927,197,10000
1785275554.956,198,10000
1785275554.981,199,5000
1785275555.007,200,3000
1785275555.034,201,5000
1785275555.063,202,3000
1785275555.086,203,3000
1785275555.116,204,5000
1785275555.140,205,3000
1785275555.167,206,1000
1785275555.192,207,10000
1785275555.219,208,10000
1785275555.243,209,10000
1785275555.277,210,5000
1785275555.305,211,10000
1785275555.330,212,1000
1785275555.357,213,30000
1785275555.383,214,10000
