ts,seq,amount
1785275710.030,1,30000
1785275710.057,2,10000
1785275710.083,3,5000
1785275710.108,4,3000
1785275710.134,5,30000
1785275710.162,6,3000
1785275710.190,7,3000
1785275710.220,8,3000
1785275710.247,9,5000
1785275710.277,10,1000
1785275710.305,11,10000
1785275710.333,12,10000
1785275710.360,13,5000
1785275710.386,14,10000
1785275710.411,15,10000
1785275710.439,16,5000
1785275710.467,17,5000
1785275710.492,18,1000
1785275710.521,19,10000
1785275710.548,20,3000
1785275710.580,21,1000
1785275710.609,22,30000
1785275710.638,23,3000
1785275710.662,24,5000
1785275710.687,25,5000
1785275710.714,26,3000
1785275710.738,27,5000
1785275710.765,28,3000
1785275710.793,29,3000
1785275710.822,30,5000
1785275710.850,31,5000
1785275710.874,32,3000
1785275710.902,33,3000
1785275710.927,34,5000
1785275710.952,35,1000
1785275710.981,36,1000
1785275711.006,37,30000
1785275711.034,38,3000
1785275711.059,39,3000
1785275711.082,40,10000
1785275711.108,41,10000
1785275711.132,42,3000
1785275711.158,43,5000
1785275711.183,44,10000
1785275711.208,45,3000
1785275711.233,46,10000
1785275711.257,47,30000
1785275711.285,48,3000
1785275711.313,49,1000
1785275711.340,50,10000
1785275711.369,51,5000
1785275711.393,52,10000
1785275711.421,53,3000
1785275711.450,54,3000
1785275711.477,55,5000
1785275711.502,56,5000
1785275711.531,57,5000
1785275711.554,58,3000
1785275711.580,59,5000
1785275711.606,60,3000
1785275711.631,61,5000
1785275711.660,62,10000
1785275711.687,63,10000
1785275711.717,64,5000
1785275711.742,65,30000
1785275711.771,66,3000
1785275711.797,67,3000
1785275711.820,68,10000
1785275711.847,69,30000
1785275711.874,70,5000
1785275711.900,71,30000
1785275711.925,72,30000
1785275711.954,73,3000
1785275711.978,74,10000
1785275712.006,75,10000
1785275712.035,76,5000
1785275712.062,77,1000
1785275712.091,78,1000
1785275712.116,79,10000
1785275712.143,80,1000
1785275712.170,81,10000
1785275712.197,82,10000
1785275712.231,83,30000
1785275712.259,84,3000
1785275712.287,85,5000
1785275712.311,86,5000
1785275712.340,87,30000
1785275712.367,88,10000
1785275712.394,89,1000
1785275712.420,90,5000
1785275712.449,91,30000
1785275712.473,92,5000
1785275712.497,93,30000
1785275712.529,94,30000
1785275712.556,95,5000
1785275712.583,96,3000
1785275712.608,97,3000
1785275712.634,98,5000
1785275712.661,99,1000
1785275712.685,100,1000
1785275712.708,101,5000
1785275712.736,102,30000
1785275712.762,103,10000
1785275712.788,104,30000
1785275712.817,105,3000
1785275712.841,106,3000
1785275712.866,107,5000
1785275712.893,108,10000
1785275712.921,109,10000
1785275712.946,110,1000
1785275712.971,111,5000
1785275713.000,112,3000
1785275713.026,113,10000
1785275713.051,114,3000
1785275713.079,115,5000
1785275713.103,116,10000
1785275713.128,117,5000
1785275713.153,118,10000
1785275713.179,119,1000
1785275713.205,120,3000
1785275713.232,121,10000
1785275713.258,122,3000
1785275713.283,123,30000
1785275713.308,124,1000
1785275713.334,125,3000
1785275713.358,126,10000
1785275713.387,127,3000
1785275713.416,128,5000
1785275713.441,129,30000
1785275713.468,130,10000
1785275713.495,131,30000
1785275713.522,132,30000
1785275713.553,133,5000
1785275713.578,134,30000
1785275713.605,135,30000
1785275713.635,136,10000
1785275713.664,137,3000
1785275713.693,138,30000
1785275713.720,139,5000
1785275713.745,140,3000
1785275713.768,141,5000
1785275713.796,142,1000
1785275713.821,143,5000
1785275713.849,144,30000
1785275713.877,145,5000
1785275713.905,146,3000
1785275713.934,147,3000
1785275713.963,148,3000
1785275713.990,149,30000
1785275714.019,150,30000
1785275714.045,151,30000
1785275714.073,152,3000
1785275714.102,153,3000
1785275714.125,154,5000
1785275714.153,155,10000
1785275714.180,156,1000
1785275714.206,157,5000
1785275714.234,158,1000
1785275714.258,159,10000
1785275714.282,160,1000
1785275714.309,161,30000
1785275714.337,162,30000
1785275714.365,163,5000
1785275714.392,164,5000
1785275714.421,165,5000
1785275714.449,166,1000
1785275714.474,167,10000
1785275714.502,168,30000
1785275714.531,169,3000
1785275714.557,170,3000
1785275714.585,171,5000
1785275714.613,172,5000
1785275714.640,173,30000
1785275714.666,174,5000
1785275714.693,175,30000
1785275714.721,176,1000
1785275714.749,177,10000
1785275714.774,178,3000
1785275714.799,179,30000
1785275714.823,180,1000
1785275714.852,181,1000
1785275714.879,182,3000
1785275714.907,183,30000
1785275714.932,184,3000
1785275714.958,185,1000
1785275714.983,186,5000
1785275715.008,187,1000
1785275715.034,188,10000
1785275715.059,189,5000
1785275715.088,190,1000
1785275715.117,191,30000
1785275715.140,192,30000
1785275715.168,193,1000
1785275715.193,194,30000
1785275715.220,195,3000
1785275715.248,196,1000
1785275715.276,197,10000
1785275715.299,198,5000
1785275715.324,199,10000
1785275715.352,200,30000
1785275715.379,201,1000
1785275715.408,202,10000
1785275715.436,203,10000
1785275715.466,204,1000
1785275715.491,205,1000
1785275715.515,206,30000
1785275715.542,207,5000
1785275715.566,208,1000
1785275715.595,209,3000
1785275715.622,210,1000
1785275715.649,211,30000
1785275715.678,212,10000
1785275715.706,213,10000
1785275715.736,214,5000
1785275715.762,215,1000
1785275715.791,216,30000
1785275715.817,217,3000
1785275715.842,218,5000
1785275715.866,219,30000
1785275715.893,220,5000
1785275715.920,221,30000
1785275715.948,222,10000
1785275715.972,223,30000
1785275716.000,224,3000
1785275716.025,225,5000
1785275716.054,226,5000
1785275716.077,227,3000
1785275716.105,228,3000
1785275716.133,229,5000
1785275716.161,230,3000
1785275716.189,231,1000
1785275716.216,232,3000
1785275716.244,233,3000
1785275716.269,234,5000
1785275716.295,235,3000
1785275716.324,236,5000
1785275716.351,237,10000
1785275716.376,238,5000
1785275716.404,239,1000
1785275716.427,240,10000
1785275716.454,241,5000
1785275716.483,242,10000
1785275716.509,243,30000
1785275716.537,244,10000
1785275716.562,245,5000
1785275716.590,246,30000
1785275716.617,247,1000
1785275716.644,248,3000
1785275716.670,249,10000
1785275716.697,250,5000
1785275716.725,251,3000
1785275716.749,252,30000
1785275716.775,253,10000
1785275716.803,254,10000
1785275716.827,255,5000
1785275716.850,256,10000
1785275716.877,257,3000
1785275716.900,258,10000
1785275716.924,259,5000
1785275716.952,260,30000
1785275716.980,261,5000
1785275717.010,262,5000
1785275717.040,263,3000
1785275717.067,264,3000
1785275717.096,265,1000
1785275717.122,266,30000
1785275717.148,267,1000
1785275717.175,268,10000
1785275717.201,269,1000
1785275717.231,270,3000
1785275717.260,271,3000
1785275717.284,272,10000
1785275717.311,273,1000
1785275717.337,274,5000
1785275717.363,275,30000
1785275717.387,276,3000
1785275717.415,277,5000
1785275717.439,278,1000
1785275717.466,279,1000
1785275717.494,280,5000
1785275717.521,281,30000
1785275717.549,282,10000
1785275717.576,283,3000
1785275717.604,284,10000
1785275717.629,285,1000
1785275717.654,286,30000
1785275717.678,287,3000
1785275717.702,288,30000
1785275717.730,289,10000
1785275717.756,290,1000
1785275717.783,291,3000
1785275717.812,292,10000
1785275717.839,293,1000
1785275717.866,294,5000
1785275717.892,295,3000
1785275717.916,296,1000
1785275717.943,297,30000
1785275717.968,298,30000
1785275717.993,299,5000
1785275718.021,300,5000
1785275718.048,301,30000
1785275718.074,302,5000
1785275718.102,303,5000
1785275718.131,304,30000
1785275718.154,305,5000
1785275718.184,306,3000
1785275718.209,307,3000
1785275718.234,308,1000
1785275718.260,309,1000
1785275718.288,310,1000
1785275718.313,311,30000
1785275718.340,312,1000
1785275718.364,313,30000
1785275718.390,314,1000
1785275718.417,315,30000
1785275718.445,316,5000
1785275718.468,317,1000
1785275718.496,318,1000
1785275718.521,319,3000
1785275718.549,320,3000
1785275718.574,321,3000
1785275718.600,322,3000
1785275718.628,323,3000
1785275718.657,324,5000
1785275718.685,325,1000
1785275718.713,326,5000
1785275718.740,327,1000
1785275718.765,328,5000
1785275718.791,329,1000
1785275718.818,330,30000
1785275718.844,331,1000
1785275718.867,332,30000
1785275718.892,333,1000
1785275718.916,334,5000
1785275718.942,335,3000
1785275718.972,336,5000
1785275719.001,337,3000
1785275719.025,338,3000
1785275719.054,339,1000
1785275719.083,340,10000
1785275719.109,341,30000
1785275719.137,342,3000
1785275719.161,343,10000
1785275719.189,344,30000
1785275719.218,345,30000
1785275719.242,346,30000
1785275719.268,347,3000
1785275719.292,348,3000
1785275719.319,349,30000
1785275719.347,350,1000
1785275719.374,351,30000
1785275719.399,352,30000
1785275719.425,353,30000
1785275719.453,354,1000
1785275719.481,355,10000
1785275719.509,356,5000
1785275719.538,357,3000
1785275719.567,358,3000
1785275719.596,359,3000
1785275719.623,360,5000
1785275719.652,361,5000
1785275719.682,362,30000
1785275719.710,363,5000
1785275719.737,364,1000
1785275719.764,365,3000
1785275719.793,366,10000
1785275719.817,367,3000
1785275719.845,368,3000
1785275719.874,369,30000
1785275719.900,370,5000
1785275719.927,371,30000
1785275719.953,372,30000
1785275727.983,373,3000
1785275728.011,374,3000
1785275728.038,375,5000
1785275728.062,376,10000
1785275728.087,377,30000
1785275728.114,378,30000
1785275728.143,379,5000
1785275728.169,380,10000
1785275728.197,381,30000
1785275728.225,382,5000
1785275728.251,383,3000
1785275728.275,384,10000
1785275728.302,385,3000
1785275728.330,386,10000
1785275728.359,387,5000
