ts,seq,amount
1785275683.059,1,30000
1785275683.088,2,30000
1785275683.113,3,10000
1785275683.138,4,3000
1785275683.164,5,3000
1785275683.190,6,10000
1785275683.217,7,3000
1785275683.244,8,30000
1785275683.273,9,30000
1785275683.299,10,10000
1785275683.328,11,10000
1785275683.355,12,10000
1785275683.383,13,5000
1785275683.410,14,10000
1785275683.438,15,1000
1785275683.467,16,3000
1785275683.494,17,5000
1785275683.523,18,30000
1785275683.552,19,10000
1785275683.581,20,5000
1785275683.611,21,10000
1785275683.640,22,1000
1785275683.668,23,5000
1785275683.693,24,3000
1785275683.721,25,30000
1785275683.746,26,30000
1785275683.772,27,1000
1785275683.796,28,1000
1785275683.824,29,5000
1785275683.850,30,10000
1785275683.874,31,5000
1785275683.899,32,10000
1785275683.924,33,1000
1785275683.950,34,5000
1785275683.976,35,1000
1785275684.002,36,10000
1785275684.030,37,3000
1785275684.056,38,10000
1785275684.083,39,30000
1785275684.111,40,30000
1785275684.139,41,10000
1785275684.163,42,3000
1785275684.191,43,30000
1785275684.219,44,1000
1785275684.248,45,5000
1785275684.276,46,10000
1785275684.301,47,3000
1785275684.326,48,10000
1785275684.351,49,5000
1785275684.380,50,30000
1785275684.408,51,1000
1785275684.436,52,1000
1785275684.462,53,1000
1785275684.487,54,10000
1785275684.513,55,3000
1785275684.541,56,10000
1785275684.569,57,10000
1785275684.598,58,1000
1785275684.625,59,5000
1785275684.651,60,10000
1785275684.675,61,1000
1785275684.706,62,5000
1785275684.732,63,5000
1785275684.760,64,3000
1785275684.794,65,10000
1785275684.820,66,30000
1785275684.846,67,5000
1785275684.874,68,10000
1785275684.903,69,5000
1785275684.930,70,30000
1785275684.956,71,3000
1785275684.982,72,5000
1785275685.008,73,5000
1785275685.036,74,5000
1785275685.061,75,10000
1785275685.084,76,10000
1785275685.112,77,1000
1785275685.139,78,30000
1785275685.167,79,5000
1785275685.196,80,10000
1785275685.219,81,3000
1785275685.243,82,5000
1785275685.273,83,3000
1785275685.300,84,30000
1785275685.326,85,3000
1785275685.350,86,30000
1785275685.376,87,3000
1785275685.399,88,10000
1785275685.427,89,30000
1785275685.451,90,3000
1785275685.475,91,30000
1785275685.503,92,1000
1785275685.527,93,10000
1785275685.554,94,30000
1785275685.583,95,1000
1785275685.611,96,3000
1785275685.640,97,1000
1785275685.669,98,10000
1785275685.697,99,5000
1785275685.726,100,30000
1785275685.755,101,10000
1785275685.781,102,30000
1785275685.808,103,3000
1785275685.835,104,3000
1785275685.865,105,1000
1785275685.895,106,10000
1785275685.921,107,3000
1785275685.946,108,5000
1785275685.974,109,3000
1785275686.003,110,3000
1785275686.030,111,5000
1785275686.056,112,30000
1785275686.085,113,10000
1785275686.112,114,3000
1785275686.140,115,30000
1785275686.169,116,1000
1785275686.197,117,5000
1785275686.223,118,1000
1785275686.246,119,3000
1785275686.275,120,10000
1785275686.300,121,5000
1785275686.328,122,5000
1785275686.354,123,10000
1785275686.379,124,3000
1785275686.405,125,3000
1785275686.431,126,5000
1785275686.458,127,10000
1785275686.482,128,3000
1785275686.507,129,30000
1785275686.537,130,10000
1785275686.566,131,30000
1785275686.591,132,5000
1785275686.620,133,10000
1785275686.646,134,3000
1785275686.671,135,3000
1785275686.696,136,10000
1785275686.723,137,1000
1785275686.748,138,1000
1785275686.774,139,30000
1785275686.801,140,3000
1785275686.827,141,1000
1785275686.855,142,3000
1785275686.885,143,1000
1785275686.917,144,5000
1785275686.947,145,3000
1785275686.976,146,1000
1785275687.006,147,3000
1785275687.035,148,10000
1785275687.063,149,30000
1785275687.092,150,30000
1785275687.119,151,10000
1785275687.144,152,1000
1785275687.172,153,30000
1785275687.200,154,3000
1785275687.227,155,10000
1785275687.255,156,3000
1785275687.283,157,3000
1785275687.309,158,3000
1785275687.337,159,30000
1785275687.362,160,5000
1785275687.392,161,3000
1785275687.419,162,3000
1785275687.445,163,30000
1785275687.469,164,1000
1785275687.494,165,30000
1785275687.519,166,3000
1785275687.549,167,10000
1785275687.577,168,10000
1785275687.610,169,30000
1785275687.638,170,10000
1785275687.666,171,10000
1785275687.695,172,10000
1785275687.719,173,30000
1785275687.746,174,10000
1785275687.773,175,3000
1785275687.798,176,10000
1785275687.823,177,3000
1785275687.852,178,10000
1785275687.878,179,10000
1785275687.906,180,3000
1785275687.931,181,3000
1785275687.956,182,1000
1785275687.979,183,10000
1785275688.004,184,10000
1785275688.030,185,3000
1785275688.059,186,1000
1785275688.085,187,1000
1785275688.113,188,1000
1785275688.142,189,3000
1785275688.165,190,10000
1785275688.194,191,1000
1785275688.222,192,1000
1785275688.246,193,5000
1785275688.275,194,1000
1785275688.304,195,30000
1785275688.332,196,5000
1785275688.360,197,30000
1785275688.383,198,3000
1785275688.410,199,5000
1785275688.435,200,10000
1785275688.460,201,5000
1785275688.486,202,5000
1785275688.510,203,1000
1785275688.534,204,10000
1785275688.560,205,1000
1785275688.583,206,5000
1785275688.606,207,10000
1785275688.632,208,3000
1785275688.659,209,5000
1785275688.688,210,1000
1785275688.716,211,30000
1785275688.743,212,10000
1785275688.770,213,5000
1785275688.799,214,5000
1785275688.824,215,3000
1785275688.853,216,5000
1785275688.880,217,1000
1785275688.909,218,1000
1785275688.936,219,1000
1785275688.964,220,30000
1785275688.993,221,1000
1785275689.021,222,3000
1785275689.050,223,10000
1785275689.079,224,30000
1785275689.108,225,30000
1785275689.136,226,30000
1785275689.165,227,3000
1785275689.193,228,1000
1785275689.221,229,5000
1785275689.246,230,5000
1785275689.270,231,1000
1785275689.295,232,10000
1785275689.319,233,3000
1785275689.344,234,30000
1785275689.369,235,10000
1785275689.392,236,30000
1785275689.421,237,1000
1785275689.446,238,5000
1785275689.474,239,5000
1785275689.503,240,10000
1785275689.530,241,10000
1785275689.557,242,10000
1785275689.586,243,1000
1785275689.612,244,30000
1785275689.640,245,1000
1785275689.670,246,1000
1785275689.695,247,30000
1785275689.725,248,3000
1785275689.753,249,5000
1785275689.781,250,30000
1785275689.810,251,3000
1785275689.835,252,5000
1785275689.861,253,30000
1785275689.887,254,1000
1785275689.911,255,10000
1785275689.939,256,1000
1785275689.967,257,5000
1785275689.994,258,1000
1785275690.019,259,30000
1785275690.044,260,5000
1785275690.072,261,5000
1785275690.102,262,10000
1785275690.127,263,1000
1785275690.152,264,3000
1785275690.178,265,5000
1785275690.203,266,5000
1785275690.227,267,5000
1785275690.256,268,30000
1785275690.284,269,10000
1785275690.310,270,1000
1785275690.335,271,10000
1785275690.363,272,30000
1785275690.390,273,3000
1785275690.418,274,5000
1785275690.441,275,10000
1785275690.467,276,10000
1785275690.495,277,30000
1785275690.522,278,1000
1785275690.549,279,3000
1785275690.575,280,1000
1785275690.600,281,30000
1785275690.629,282,5000
1785275690.655,283,10000
1785275690.680,284,10000
1785275690.708,285,3000
1785275690.733,286,5000
1785275690.760,287,30000
1785275690.786,288,3000
1785275690.812,289,10000
1785275690.835,290,30000
1785275690.860,291,5000
1785275690.887,292,30000
1785275690.914,293,1000
1785275690.937,294,30000
1785275690.960,295,10000
1785275690.987,296,30000
1785275691.010,297,3000
1785275691.037,298,1000
1785275691.065,299,30000
1785275691.093,300,3000
1785275691.122,301,30000
1785275691.148,302,5000
1785275691.175,303,5000
1785275691.199,304,1000
1785275691.227,305,1000
1785275691.255,306,10000
1785275691.279,307,3000
1785275691.308,308,5000
1785275691.336,309,1000
1785275691.361,310,5000
1785275691.385,311,30000
1785275691.414,312,10000
1785275691.440,313,1000
1785275691.465,314,3000
1785275691.492,315,1000
1785275691.519,316,5000
1785275691.545,317,1000
1785275691.573,318,1000
1785275691.601,319,10000
1785275691.627,320,5000
1785275691.657,321,10000
1785275691.685,322,10000
1785275691.711,323,1000
1785275691.740,324,5000
1785275691.769,325,5000
1785275691.799,326,30000
1785275691.826,327,10000
1785275691.855,328,30000
1785275691.884,329,3000
1785275691.907,330,10000
1785275691.936,331,30000
1785275691.964,332,10000
1785275691.992,333,5000
1785275692.020,334,30000
1785275692.047,335,30000
1785275692.075,336,30000
1785275692.104,337,30000
1785275692.131,338,3000
1785275692.156,339,30000
1785275692.184,340,1000
1785275692.210,341,3000
1785275692.234,342,3000
1785275692.263,343,10000
1785275692.292,344,1000
1785275692.318,345,5000
1785275692.344,346,1000
1785275692.371,347,10000
1785275692.396,348,10000
1785275692.423,349,1000
1785275692.451,350,1000
1785275692.477,351,1000
1785275692.502,352,3000
1785275692.529,353,10000
1785275692.555,354,30000
1785275692.584,355,3000
1785275692.612,356,30000
1785275692.636,357,3000
1785275692.662,358,30000
1785275692.689,359,10000
