label,run,db1_select,db2_select,db3_select
short,1,449,1,151
short,2,338,262,1
short,3,1,376,222
long,1,1,501,1
long,2,503,1,1
long,3,1,499,1
short-nocache,1,281,104,214
short-nocache,2,186,202,209
short-nocache,3,214,216,169
long-nocache,1,127,253,123
long-nocache,2,85,123,293
long-nocache,3,167,167,167
ml5000,1,211,41,249
ml5000,2,127,167,209
ml5000,3,253,165,83
ml10000,1,211,125,167
ml10000,2,209,125,167
ml10000,3,127,211,165
ml60000,1,208,166,177
ml60000,2,163,208,180
ml60000,3,182,184,183
ml120000,1,215,99,213
ml120000,2,257,136,134
ml120000,3,302,86,141
ml300000,1,85,85,329
ml300000,2,169,83,251
ml300000,3,211,209,83
