ts,wal_mb,lag_mb,wal_status,safe_wal_mb
1785323261.404928000,80,0,reserved,70
1785323263.721760000,80,9,reserved,62
1785323266.063224000,80,17,reserved,54
1785323268.378730000,80,25,reserved,46
1785323270.713812000,80,33,reserved,38
1785323273.018058000,80,41,reserved,30
1785323275.329198000,80,49,reserved,22
1785323277.652598000,80,57,reserved,14
1785323279.981322000,80,65,reserved,5
1785323282.275814000,96,73,unreserved,-1
1785323284.588515000,96,81,unreserved,-9
1785323286.899969000,112,90,unreserved,-17
1785323289.211603000,112,98,unreserved,-26
1785323291.535954000,128,106,unreserved,-34
1785323293.853931000,128,114,unreserved,-42
1785323296.184495000,144,122,unreserved,-50
1785323298.497192000,144,131,unreserved,-59
1785323300.808625000,160,138,unreserved,-67
1785323303.111632000,128,0,lost,0
