ts,wal_bytes,wal_files,slot_lag_bytes,slot_active,rows
1785322969.5,16777216,1,0,f,400
1785322970.9,16777216,1,0,f,1600
1785322972.3,16777216,1,0,f,2800
1785322973.8,16777216,1,0,f,4000
1785322975.2,16777216,1,0,f,5400
1785322976.6,33554432,2,0,f,6600
1785322978.0,33554432,2,0,f,7800
1785322979.4,33554432,2,0,f,9000
1785322980.9,33554432,2,0,f,10200
1785322982.3,33554432,2,0,f,11400
1785322983.7,33554432,2,0,f,12800
1785322985.2,33554432,2,0,f,14000
1785322986.6,33554432,2,0,f,15200
1785322988.1,33554432,2,0,f,16400
1785322989.5,33554432,2,0,f,17600
1785322990.9,33554432,2,0,f,19000
1785322992.3,50331648,3,0,f,20200
1785322993.8,50331648,3,0,f,21400
1785322995.2,50331648,3,0,f,22600
1785322996.7,50331648,3,0,f,23800
1785322998.1,50331648,3,0,f,25000
1785322999.5,50331648,3,237384,t,26200
1785323000.9,50331648,3,1659104,t,27600
1785323002.3,50331648,3,3081656,t,28800
1785323003.8,50331648,3,4503320,t,30000
1785323005.2,50331648,3,5925008,t,31200
1785323006.6,50331648,3,7584104,t,32400
1785323008.0,50331648,3,9005792,t,33600
1785323009.4,67108864,4,10427472,t,34800
1785323010.9,67108864,4,11612640,t,36200
1785323012.3,67108864,4,13034328,t,37400
1785323013.8,67108864,4,14455992,t,38600
1785323015.2,67108864,4,16115168,t,39800
1785323016.6,67108864,4,17536832,t,41000
1785323018.1,67108864,4,18959384,t,42400
1785323019.5,67108864,4,20381048,t,43600
1785323021.0,67108864,4,6636176,t,44800
1785323022.5,67108864,4,8057968,t,46200
1785323023.9,67108864,4,9479632,t,47400
1785323025.4,83886080,5,10902376,t,48600
1785323026.8,83886080,5,12560608,t,49800
1785323028.3,83886080,5,13983056,t,51000
1785323029.8,83886080,5,15416864,t,52400
1785323031.2,83886080,5,5936384,t,53600
1785323032.6,83886080,5,7358936,f,54800
1785323034.0,83886080,5,9017168,f,56000
1785323035.5,83886080,5,10439616,f,57400
1785323036.9,83886080,5,11861408,f,58600
1785323038.4,83886080,5,13283072,f,59800
1785323039.8,83886080,5,14942192,f,61000
1785323041.2,83886080,5,16363872,f,62400
1785323042.7,83886080,5,17786320,f,63600
1785323044.2,83886080,5,19208088,f,64800
1785323045.6,83886080,5,20867160,f,66000
1785323047.0,83886080,5,22288848,f,67400
1785323048.5,83886080,5,23859080,f,68600
1785323049.9,83886080,5,25869848,f,69800
1785323051.4,83886080,5,27291616,f,71200
1785323052.8,83886080,5,28714064,f,72400
1785323054.2,83886080,5,30135728,f,73600
1785323055.6,83886080,5,31557696,f,74800
1785323057.1,83886080,5,33216728,f,76000
1785323058.5,83886080,5,34641384,f,77200
1785323059.9,83886080,5,36068120,f,78400
1785323061.3,83886080,5,37489840,f,79800
1785323062.7,83886080,5,38911632,f,81000
1785323064.2,83886080,5,40333296,f,82200
1785323065.7,83886080,5,41992312,f,83600
1785323067.2,83886080,5,43414840,f,84800
1785323068.7,83886080,5,45073096,f,86000
1785323070.1,83886080,5,46495624,f,87200
1785323071.5,83886080,5,47917312,f,88400
1785323072.9,83886080,5,49339000,f,89800
1785323074.4,83886080,5,50760784,f,91000
1785323075.8,83886080,5,52183288,f,92200
1785323077.2,83886080,5,53604952,f,93400
1785323078.6,83886080,5,55026744,f,94600
1785323080.1,83886080,5,56685736,f,95800
1785323081.6,83886080,5,58107528,f,97200
1785323083.0,83886080,5,59529976,f,98400
1785323084.4,83886080,5,60951640,f,99600
1785323085.8,83886080,5,62373608,f,100800
1785323087.2,83886080,5,63796032,f,102000
1785323088.6,83886080,5,65473128,f,103200
1785323090.1,83886080,5,66895592,f,104400
1785323091.5,83886080,5,68317312,f,105600
1785323092.9,83886080,5,69739104,f,107000
1785323094.4,83886080,5,71160768,f,108200
1785323095.8,83886080,5,72583216,f,109400
1785323097.2,83886080,5,74005008,f,110600
1785323098.7,83886080,5,75664000,f,112000
1785323100.2,83886080,5,77085792,f,113200
1785323101.7,83886080,5,78744784,f,114400
1785323103.1,83886080,5,80166472,f,115600
1785323104.5,83886080,5,81589000,f,117000
1785323105.9,83886080,5,83010744,f,118200
1785323107.4,100663296,6,84432424,f,119400
1785323108.8,100663296,6,86071272,f,120600
1785323110.2,100663296,6,87780376,f,121800
1785323111.6,100663296,6,89202168,f,123000
1785323113.0,100663296,6,90623832,f,124200
1785323114.4,100663296,6,92045520,f,125400
1785323115.8,100663296,6,93704792,f,126600
1785323117.2,100663296,6,95127240,f,127800
1785323118.7,100663296,6,96563280,f,129200
1785323120.1,100663296,6,97984968,f,130400
1785323121.5,100663296,6,99406688,f,131600
1785323122.9,117440512,7,100829256,f,132800
1785323124.3,117440512,7,102250944,f,134000
1785323125.8,117440512,7,103672608,f,135200
1785323127.2,117440512,7,105331728,f,136400
1785323128.6,117440512,7,106753392,f,137600
1785323130.0,117440512,7,108175944,f,138800
1785323131.4,117440512,7,109597608,f,140000
1785323132.8,117440512,7,111019296,f,141200
1785323134.2,117440512,7,112441064,f,142600
1785323135.7,117440512,7,113863512,f,143800
1785323137.2,117440512,7,115522584,f,145000
1785323138.7,117440512,8,116944368,f,146400
1785323140.2,134217728,8,118603384,f,147600
1785323141.7,134217728,8,120025152,f,149000
1785323143.1,134217728,8,121448960,f,150200
1785323144.5,134217728,8,122871408,f,151400
1785323145.9,134217728,8,124293352,f,152600
1785323147.3,134217728,8,125952368,f,153800
1785323148.8,134217728,8,127385536,f,155000
1785323150.3,134217728,8,128807200,f,156400
1785323151.7,134217728,8,130466272,f,157600
