ts,wal_mb,lag_mb,wal_status,safe_wal_mb
1785461389.088211000,224,0,reserved,71
1785461391.384712000,224,9,reserved,64
1785461393.683547000,224,16,reserved,56
1785461395.985442000,224,24,reserved,48
1785461398.301609000,224,32,reserved,40
1785461400.629273000,224,40,reserved,32
1785461402.935908000,224,48,reserved,24
1785461405.261675000,224,56,reserved,16
1785461407.586117000,224,64,reserved,8
1785461409.886131000,224,72,reserved,0
1785461412.192787000,224,79,unreserved,-6
1785461414.516260000,224,88,unreserved,-14
1785461416.824002000,224,96,unreserved,-23
1785461419.145384000,224,103,unreserved,-30
1785461421.436834000,224,111,unreserved,-38
1785461423.717108000,224,119,unreserved,-46
1785461426.041109000,224,127,unreserved,-54
1785461428.339978000,224,135,unreserved,-62
1785461430.632069000,224,143,unreserved,-70
1785461432.945226000,224,150,unreserved,-77
1785461435.252763000,224,158,unreserved,-85
1785461437.564535000,224,167,unreserved,-93
1785461439.871254000,224,174,unreserved,-101
1785461442.184797000,224,0,lost,0
