t,phase,io_table_sessions,data_lock_waits
0.0,0,0,0
1.0,0,6,28
2.0,0,7,28
3.0,0,6,21
4.0,0,7,28
5.0,0,7,28
6.0,0,6,28
7.0,0,7,21
8.0,0,6,28
9.0,0,7,28
10.0,0,6,28
11.1,0,7,28
12.1,0,7,28
13.1,0,6,21
14.1,0,7,21
15.1,0,7,21
16.1,0,7,28
17.1,0,7,28
18.1,0,7,28
19.1,0,7,28
20.1,0,7,28
21.1,0,7,28
22.1,0,7,28
23.1,0,7,28
24.1,0,7,28
25.1,0,6,21
26.1,0,7,21
27.1,0,7,28
28.1,0,6,21
29.1,0,7,28
30.1,1,7,28
31.1,1,0,0
32.1,1,2,0
33.1,1,1,0
34.1,1,2,0
35.1,1,1,0
36.1,1,1,0
37.1,1,0,0
38.1,1,1,0
39.1,1,1,0
40.1,1,0,0
41.1,1,0,0
42.1,1,1,0
43.1,1,2,0
44.1,1,0,0
45.1,1,2,0
46.1,1,0,0
47.1,1,1,0
48.2,1,0,0
49.2,1,1,0
50.2,1,0,0
51.2,1,1,0
52.2,1,2,0
53.2,1,0,0
54.2,1,1,0
55.2,1,4,0
56.2,1,2,0
57.2,1,0,0
58.2,1,1,0
59.2,1,0,0
