ts,active_sessions,cpu,io_file,io_table,lock,synch,other
1785276221.49,1,1,0,0,0,0,0
1785276221.60,0,0,0,0,0,0,0
1785276221.70,0,0,0,0,0,0,0
1785276221.81,0,0,0,0,0,0,0
1785276221.95,0,0,0,0,0,0,0
1785276222.01,0,0,0,0,0,0,0
1785276222.12,0,0,0,0,0,0,0
1785276222.22,0,0,0,0,0,0,0
1785276222.32,0,0,0,0,0,0,0
1785276222.43,0,0,0,0,0,0,0
1785276222.54,0,0,0,0,0,0,0
1785276222.64,0,0,0,0,0,0,0
1785276222.74,0,0,0,0,0,0,0
1785276222.85,0,0,0,0,0,0,0
1785276222.95,0,0,0,0,0,0,0
1785276223.05,0,0,0,0,0,0,0
1785276223.15,0,0,0,0,0,0,0
1785276223.26,0,0,0,0,0,0,0
1785276223.36,0,0,0,0,0,0,0
1785276223.47,0,0,0,0,0,0,0
1785276223.57,0,0,0,0,0,0,0
1785276223.68,3,3,0,0,0,0,0
1785276223.78,2,2,0,0,0,0,0
1785276223.88,0,0,0,0,0,0,0
1785276223.98,0,0,0,0,0,0,0
1785276224.08,1,1,0,0,0,0,0
1785276224.18,0,0,0,0,0,0,0
1785276224.28,0,0,0,0,0,0,0
1785276224.38,0,0,0,0,0,0,0
1785276224.48,0,0,0,0,0,0,0
1785276224.58,0,0,0,0,0,0,0
1785276224.68,0,0,0,0,0,0,0
1785276224.78,0,0,0,0,0,0,0
1785276224.89,1,0,0,0,0,0,1
1785276224.99,1,0,0,1,0,0,0
1785276225.09,0,0,0,0,0,0,0
1785276225.19,1,1,0,0,0,0,0
1785276225.29,0,0,0,0,0,0,0
1785276225.39,1,1,0,0,0,0,0
1785276225.49,1,1,0,0,0,0,0
1785276225.60,0,0,0,0,0,0,0
1785276225.70,0,0,0,0,0,0,0
1785276225.80,0,0,0,0,0,0,0
1785276225.90,0,0,0,0,0,0,0
1785276226.00,1,1,0,0,0,0,0
1785276226.10,0,0,0,0,0,0,0
1785276226.20,0,0,0,0,0,0,0
1785276226.30,1,1,0,0,0,0,0
1785276226.40,3,2,0,1,0,0,0
1785276226.51,2,2,0,0,0,0,0
1785276226.61,0,0,0,0,0,0,0
1785276226.71,2,1,0,0,0,0,1
1785276226.81,0,0,0,0,0,0,0
1785276226.91,2,2,0,0,0,0,0
1785276227.01,0,0,0,0,0,0,0
1785276227.11,0,0,0,0,0,0,0
1785276227.21,2,1,0,0,0,0,1
1785276227.31,1,1,0,0,0,0,0
1785276227.41,0,0,0,0,0,0,0
1785276227.51,0,0,0,0,0,0,0
1785276227.61,1,1,0,0,0,0,0
1785276227.71,1,1,0,0,0,0,0
1785276227.81,1,0,0,0,0,0,1
1785276227.91,1,1,0,0,0,0,0
1785276228.01,0,0,0,0,0,0,0
1785276228.12,0,0,0,0,0,0,0
1785276228.22,2,2,0,0,0,0,0
1785276228.32,0,0,0,0,0,0,0
1785276228.42,0,0,0,0,0,0,0
1785276228.52,0,0,0,0,0,0,0
1785276228.62,0,0,0,0,0,0,0
1785276228.72,0,0,0,0,0,0,0
1785276228.82,0,0,0,0,0,0,0
1785276228.93,0,0,0,0,0,0,0
1785276229.03,0,0,0,0,0,0,0
1785276229.13,0,0,0,0,0,0,0
1785276229.23,0,0,0,0,0,0,0
1785276229.33,0,0,0,0,0,0,0
1785276229.43,0,0,0,0,0,0,0
1785276229.53,1,1,0,0,0,0,0
1785276229.63,1,0,0,0,0,0,1
1785276229.74,1,1,0,0,0,0,0
1785276229.84,0,0,0,0,0,0,0
1785276229.94,0,0,0,0,0,0,0
1785276230.04,0,0,0,0,0,0,0
1785276230.14,1,1,0,0,0,0,0
1785276230.24,0,0,0,0,0,0,0
1785276230.34,0,0,0,0,0,0,0
1785276230.44,0,0,0,0,0,0,0
1785276230.54,0,0,0,0,0,0,0
1785276230.64,0,0,0,0,0,0,0
1785276230.74,1,0,0,0,0,0,1
1785276230.84,2,1,0,1,0,0,0
1785276230.94,2,1,0,0,0,0,1
1785276231.04,0,0,0,0,0,0,0
1785276231.15,2,2,0,0,0,0,0
1785276231.25,0,0,0,0,0,0,0
1785276231.35,1,1,0,0,0,0,0
1785276231.45,0,0,0,0,0,0,0
1785276231.55,1,0,0,0,0,0,1
1785276231.65,0,0,0,0,0,0,0
1785276231.75,2,2,0,0,0,0,0
1785276231.85,0,0,0,0,0,0,0
1785276231.95,0,0,0,0,0,0,0
1785276232.06,0,0,0,0,0,0,0
1785276232.16,1,1,0,0,0,0,0
1785276232.27,0,0,0,0,0,0,0
1785276232.37,0,0,0,0,0,0,0
1785276232.47,0,0,0,0,0,0,0
1785276232.57,0,0,0,0,0,0,0
1785276232.67,0,0,0,0,0,0,0
1785276232.77,1,1,0,0,0,0,0
1785276232.87,0,0,0,0,0,0,0
1785276232.97,0,0,0,0,0,0,0
1785276233.07,1,1,0,0,0,0,0
1785276233.17,0,0,0,0,0,0,0
1785276233.28,1,1,0,0,0,0,0
1785276233.38,2,2,0,0,0,0,0
1785276233.48,0,0,0,0,0,0,0
1785276233.58,0,0,0,0,0,0,0
1785276233.68,0,0,0,0,0,0,0
1785276233.78,1,0,0,0,0,0,1
1785276233.88,0,0,0,0,0,0,0
1785276233.98,0,0,0,0,0,0,0
1785276234.08,1,1,0,0,0,0,0
1785276234.18,4,4,0,0,0,0,0
1785276234.28,0,0,0,0,0,0,0
1785276234.39,2,1,0,1,0,0,0
1785276234.49,0,0,0,0,0,0,0
1785276234.59,0,0,0,0,0,0,0
1785276234.69,0,0,0,0,0,0,0
1785276234.79,0,0,0,0,0,0,0
1785276234.89,0,0,0,0,0,0,0
1785276234.99,2,1,0,0,0,0,1
1785276235.10,0,0,0,0,0,0,0
1785276235.20,2,2,0,0,0,0,0
1785276235.30,1,1,0,0,0,0,0
1785276235.40,0,0,0,0,0,0,0
1785276235.50,3,3,0,0,0,0,0
1785276235.60,0,0,0,0,0,0,0
1785276235.70,2,1,0,0,1,0,0
1785276235.80,0,0,0,0,0,0,0
1785276235.90,0,0,0,0,0,0,0
1785276236.00,2,0,0,0,0,0,2
1785276236.10,0,0,0,0,0,0,0
1785276236.20,0,0,0,0,0,0,0
1785276236.30,0,0,0,0,0,0,0
1785276236.40,2,2,0,0,0,0,0
1785276236.51,0,0,0,0,0,0,0
