ts,active_sessions,cpu,io_file,io_table,lock,synch,other
1785276221.49,1,1,0,0,0,0,0
1785276222.50,0,0,0,0,0,0,0
1785276223.50,3,2,0,1,0,0,0
1785276224.50,0,0,0,0,0,0,0
1785276225.50,2,0,0,2,0,0,0
1785276226.50,0,0,0,0,0,0,0
1785276227.50,3,0,0,0,0,0,2
1785276228.50,0,0,0,0,0,0,0
1785276229.50,0,0,0,0,0,0,0
1785276230.50,1,0,0,1,0,0,0
1785276231.50,0,0,0,0,0,0,0
1785276232.50,0,0,0,0,0,0,0
1785276233.51,0,0,0,0,0,0,0
1785276234.51,0,0,0,0,0,0,0
1785276235.51,0,0,0,0,0,0,0
1785276236.51,0,0,0,0,0,0,0
1785276237.51,0,0,0,0,0,0,0
1785276238.51,0,0,0,0,0,0,0
1785276239.51,2,1,0,0,0,0,1
1785276240.51,0,0,0,0,0,0,0
1785276241.52,1,1,0,0,0,0,0
1785276242.52,0,0,0,0,0,0,0
1785276243.52,0,0,0,0,0,0,0
1785276244.52,0,0,0,0,0,0,0
1785276245.52,0,0,0,0,0,0,0
1785276246.52,2,1,0,0,0,0,1
1785276247.52,0,0,0,0,0,0,0
1785276248.52,0,0,0,0,0,0,0
1785276249.52,0,0,0,0,0,0,0
1785276250.53,0,0,0,0,0,0,0
1785276251.53,1,1,0,0,0,0,0
1785276252.53,0,0,0,0,0,0,0
1785276253.53,0,0,0,0,0,0,0
1785276254.53,0,0,0,0,0,0,0
1785276255.53,0,0,0,0,0,0,0
1785276256.53,0,0,0,0,0,0,0
1785276257.53,0,0,0,0,0,0,0
1785276258.54,2,2,0,0,0,0,0
1785276259.54,0,0,0,0,0,0,0
1785276260.54,1,1,0,0,0,0,0
1785276261.54,0,0,0,0,0,0,0
1785276262.54,2,2,0,0,0,0,0
1785276263.54,2,2,0,0,0,0,0
1785276264.54,1,1,0,0,0,0,0
1785276265.54,1,0,0,0,0,0,1
1785276266.54,0,0,0,0,0,0,0
1785276267.54,0,0,0,0,0,0,0
1785276268.55,1,1,0,0,0,0,0
1785276269.55,1,1,0,0,0,0,0
1785276270.55,0,0,0,0,0,0,0
1785276271.55,1,1,0,0,0,0,0
1785276272.55,0,0,0,0,0,0,0
1785276273.55,0,0,0,0,0,0,0
1785276274.56,0,0,0,0,0,0,0
1785276275.56,0,0,0,0,0,0,0
1785276276.56,0,0,0,0,0,0,0
1785276277.56,3,1,0,1,0,0,1
1785276278.56,1,1,0,0,0,0,0
1785276279.56,0,0,0,0,0,0,0
1785276280.56,1,0,0,0,0,0,1
1785276281.56,0,0,0,0,0,0,0
1785276282.56,0,0,0,0,0,0,0
1785276283.57,8,0,1,7,0,0,0
1785276284.57,8,0,1,7,0,0,0
1785276285.57,8,0,1,7,0,0,0
1785276286.58,8,0,1,7,0,0,0
1785276287.58,8,0,1,7,0,0,0
1785276288.58,8,1,1,6,0,0,0
1785276289.58,8,0,1,7,0,0,0
1785276290.58,8,0,1,7,0,0,0
1785276291.58,7,0,1,6,0,0,0
1785276292.58,8,0,1,7,0,0,0
1785276293.59,8,0,1,7,0,0,0
1785276294.59,8,0,1,7,0,0,0
1785276295.59,8,1,1,6,0,0,0
1785276296.59,8,0,1,7,0,0,0
1785276297.59,8,0,1,7,0,0,0
1785276298.59,7,1,0,6,0,0,0
1785276299.60,7,1,0,6,0,0,0
1785276300.60,8,0,1,7,0,0,0
1785276301.60,8,0,1,7,0,0,0
1785276302.60,8,0,1,7,0,0,0
1785276303.60,8,0,1,7,0,0,0
1785276304.60,8,0,1,7,0,0,0
1785276305.61,7,1,0,6,0,0,0
1785276306.61,7,1,0,6,0,0,0
1785276307.61,8,0,1,7,0,0,0
1785276308.62,8,0,1,7,0,0,0
1785276309.62,8,0,1,7,0,0,0
1785276310.63,8,0,1,7,0,0,0
1785276311.63,8,0,1,7,0,0,0
1785276312.63,7,1,0,6,0,0,0
1785276313.64,7,1,0,6,0,0,0
1785276314.64,8,0,1,7,0,0,0
1785276315.64,7,1,0,6,0,0,0
1785276316.64,8,0,1,7,0,0,0
1785276317.65,8,0,1,7,0,0,0
1785276318.65,8,0,1,7,0,0,0
1785276319.65,8,0,1,7,0,0,0
1785276320.65,8,0,1,7,0,0,0
1785276321.65,8,0,1,7,0,0,0
1785276322.65,8,0,1,7,0,0,0
1785276323.65,8,0,1,7,0,0,0
1785276324.65,7,1,0,6,0,0,0
1785276325.65,7,1,0,6,0,0,0
1785276326.65,7,1,0,6,0,0,0
1785276327.66,8,0,1,7,0,0,0
1785276328.66,8,1,0,7,0,0,0
1785276329.66,8,0,1,7,0,0,0
1785276330.66,7,1,0,6,0,0,0
1785276331.67,9,1,1,7,0,0,0
1785276332.67,8,0,1,7,0,0,0
1785276333.67,7,1,0,6,0,0,0
1785276334.67,8,0,1,7,0,0,0
1785276335.67,8,0,1,7,0,0,0
1785276336.68,8,0,1,7,0,0,0
1785276337.68,8,1,0,7,0,0,0
1785276338.68,8,0,1,7,0,0,0
1785276339.68,7,1,0,6,0,0,0
1785276340.68,8,0,1,7,0,0,0
1785276341.68,8,0,1,7,0,0,0
1785276342.69,7,1,0,6,0,0,0
1785276343.69,2,0,0,2,0,0,0
1785276344.69,3,0,0,3,0,0,0
1785276345.69,2,0,0,2,0,0,0
1785276346.69,3,1,0,2,0,0,0
1785276347.69,1,1,0,0,0,0,0
1785276348.69,0,0,0,0,0,0,0
1785276349.69,3,1,0,2,0,0,0
1785276350.69,0,0,0,0,0,0,0
1785276351.69,0,0,0,0,0,0,0
1785276352.70,1,0,0,1,0,0,0
1785276353.70,4,2,0,1,0,0,1
1785276354.70,1,1,0,0,0,0,0
1785276355.70,1,0,0,1,0,0,0
1785276356.70,1,0,0,1,0,0,0
1785276357.70,3,1,0,2,0,0,0
1785276358.71,2,0,0,2,0,0,0
1785276359.71,3,0,0,3,0,0,0
1785276360.71,1,0,0,1,0,0,0
1785276361.71,0,0,0,0,0,0,0
1785276362.71,3,2,0,1,0,0,0
1785276363.71,2,0,0,2,0,0,0
1785276364.71,4,1,0,1,0,0,2
1785276365.71,3,1,0,2,0,0,0
1785276366.71,1,0,0,1,0,0,0
1785276367.71,2,1,0,1,0,0,0
1785276368.71,1,0,0,1,0,0,0
1785276369.71,0,0,0,0,0,0,0
1785276370.72,4,0,0,4,0,0,0
1785276371.71,3,3,0,0,0,0,0
1785276372.72,4,0,0,4,0,0,0
1785276373.72,3,0,0,3,0,0,0
1785276374.72,3,0,0,3,0,0,0
1785276375.72,5,0,0,5,0,0,0
1785276376.72,1,1,0,0,0,0,0
1785276377.72,1,0,0,1,0,0,0
1785276378.72,5,0,0,2,0,0,3
1785276379.72,0,0,0,0,0,0,0
1785276380.72,1,0,0,1,0,0,0
1785276381.72,1,0,0,1,0,0,0
1785276382.72,2,1,0,1,0,0,0
1785276383.72,3,0,0,3,0,0,0
1785276384.72,0,0,0,0,0,0,0
1785276385.72,1,0,0,1,0,0,0
1785276386.73,3,0,0,3,0,0,0
1785276387.73,0,0,0,0,0,0,0
1785276388.73,5,0,0,3,0,0,2
1785276389.73,1,0,0,1,0,0,0
1785276390.73,2,0,0,2,0,0,0
1785276391.73,1,0,0,1,0,0,0
1785276392.73,2,0,0,2,0,0,0
