ts,active_sessions,cpu,io_file,io_table,lock,synch,other
1785459955.59,0,0,0,0,0,0,0
1785459956.60,0,0,0,0,0,0,0
1785459957.60,0,0,0,0,0,0,0
1785459958.60,0,0,0,0,0,0,0
1785459959.61,0,0,0,0,0,0,0
1785459960.61,0,0,0,0,0,0,0
1785459961.61,0,0,0,0,0,0,0
1785459962.61,0,0,0,0,0,0,0
1785459963.61,0,0,0,0,0,0,0
1785459964.61,0,0,0,0,0,0,0
1785459965.61,0,0,0,0,0,0,0
1785459966.61,0,0,0,0,0,0,0
1785459967.61,0,0,0,0,0,0,0
1785459968.61,0,0,0,0,0,0,0
1785459969.61,0,0,0,0,0,0,0
1785459970.61,1,1,0,0,0,0,0
1785459971.61,0,0,0,0,0,0,0
1785459972.61,3,3,0,0,0,0,0
1785459973.62,0,0,0,0,0,0,0
1785459974.62,0,0,0,0,0,0,0
1785459975.62,0,0,0,0,0,0,0
1785459976.62,0,0,0,0,0,0,0
1785459977.62,0,0,0,0,0,0,0
1785459978.62,0,0,0,0,0,0,0
1785459979.62,0,0,0,0,0,0,0
1785459980.62,0,0,0,0,0,0,0
1785459981.62,1,1,0,0,0,0,0
1785459982.62,0,0,0,0,0,0,0
1785459983.62,3,3,0,0,0,0,0
1785459984.62,0,0,0,0,0,0,0
1785459985.62,0,0,0,0,0,0,0
1785459986.63,0,0,0,0,0,0,0
1785459987.62,0,0,0,0,0,0,0
1785459988.63,1,1,0,0,0,0,0
1785459989.63,1,1,0,0,0,0,0
1785459990.63,1,1,0,0,0,0,0
1785459991.63,1,1,0,0,0,0,0
1785459992.64,0,0,0,0,0,0,0
1785459993.63,0,0,0,0,0,0,0
1785459994.64,1,1,0,0,0,0,0
1785459995.64,0,0,0,0,0,0,0
1785459996.64,0,0,0,0,0,0,0
1785459997.64,0,0,0,0,0,0,0
1785459998.64,0,0,0,0,0,0,0
1785459999.64,1,1,0,0,0,0,0
1785460000.64,1,1,0,0,0,0,0
1785460001.64,0,0,0,0,0,0,0
1785460002.64,0,0,0,0,0,0,0
1785460003.64,0,0,0,0,0,0,0
1785460004.64,0,0,0,0,0,0,0
1785460005.65,0,0,0,0,0,0,0
1785460006.65,0,0,0,0,0,0,0
1785460007.65,0,0,0,0,0,0,0
1785460008.65,0,0,0,0,0,0,0
1785460009.65,0,0,0,0,0,0,0
1785460010.66,0,0,0,0,0,0,0
1785460011.66,1,1,0,0,0,0,0
1785460012.66,0,0,0,0,0,0,0
1785460013.66,0,0,0,0,0,0,0
