# redis-pipe-nopool.app.log 에서 발췌. 전체 752건.
java.net.BindException: Can't assign requested address
java.net.BindException: Can't assign requested address
java.net.BindException: Can't assign requested address
java.net.BindException: Can't assign requested address
java.net.BindException: Can't assign requested address
java.net.BindException: Can't assign requested address
java.net.BindException: Can't assign requested address
java.net.BindException: Can't assign requested address
java.net.BindException: Can't assign requested address
java.net.BindException: Can't assign requested address
java.net.BindException: Can't assign requested address
java.net.BindException: Can't assign requested address
java.net.BindException: Can't assign requested address
java.net.BindException: Can't assign requested address
java.net.BindException: Can't assign requested address
java.net.BindException: Can't assign requested address
java.net.BindException: Can't assign requested address
java.net.BindException: Can't assign requested address
java.net.BindException: Can't assign requested address
java.net.BindException: Can't assign requested address
