ts,hit_rate,young_per_1k,not_young_per_1k,pages_made_young_rate,old_pages,total_pages,reads_from_disk_rate
1785273429.4,1000,0,0,0.0,9051,24573,0.0
1785273430.4,1000,0,0,0.0,9051,24573,0.0
1785273431.4,1000,0,0,0.0,9051,24573,0.0
1785273432.4,1000,0,0,0.0,9051,24573,0.0
1785273433.4,1000,0,0,0.0,9051,24573,0.0
1785273434.4,1000,0,0,0.0,9051,24573,0.0
1785273435.4,1000,0,0,0.0,9051,24573,0.0
1785273436.4,1000,0,0,0.0,9051,24573,0.0
1785273437.4,1000,0,0,0.0,9051,24573,0.0
1785273438.4,1000,0,0,0.0,9051,24573,0.0
1785273439.4,1000,0,0,0.0,9051,24573,0.0
1785273440.4,1000,0,0,0.0,9051,24573,0.0
1785273441.4,1000,0,0,0.0,9051,24573,0.0
1785273442.4,1000,0,0,0.0,9051,24573,0.0
1785273443.4,1000,0,0,0.0,9051,24573,0.0
1785273444.4,1000,0,0,0.0,9051,24573,0.0
1785273445.4,1000,0,0,0.0,9051,24573,0.0
1785273446.4,1000,0,0,0.0,9051,24573,0.0
1785273447.4,1000,0,0,0.0,9051,24573,0.0
1785273448.4,1000,0,0,0.0,9051,24573,0.0
1785273449.4,1000,0,0,0.0,9051,24573,0.0
1785273450.4,1000,0,0,0.0,9051,24573,0.0
1785273451.4,1000,0,0,0.0,9051,24573,0.0
1785273452.4,1000,0,0,0.0,9051,24573,0.0
1785273453.4,1000,0,0,0.0,9051,24573,0.0
1785273454.5,1000,0,0,0.0,9051,24573,0.0
1785273455.5,1000,0,0,0.0,9051,24573,0.0
1785273456.5,1000,0,0,0.0,9051,24573,0.0
1785273457.5,1000,0,0,0.0,9051,24573,0.0
1785273458.5,1000,0,0,0.0,9051,24573,0.0
1785273459.5,1000,0,0,0.0,9051,24573,0.0
1785273460.5,1000,0,0,0.0,9051,24573,0.0
1785273461.5,1000,0,0,0.0,9051,24573,0.0
1785273462.5,1000,0,0,0.0,9051,24573,0.0
1785273463.5,1000,0,0,0.0,9051,24573,0.0
