ts,hit_rate,young_per_1k,not_young_per_1k,pages_made_young_rate,old_pages,total_pages,reads_from_disk_rate
1785527338.8,1000,0,0,0.0,9050,24573,0.0
1785527339.8,1000,0,0,0.0,9050,24573,0.0
1785527340.8,1000,0,0,0.0,9050,24573,0.0
1785527341.8,1000,0,0,0.0,9050,24573,0.0
1785527342.8,1000,0,0,0.0,9050,24573,0.0
1785527343.8,1000,0,0,0.0,9050,24573,0.0
1785527344.8,1000,0,0,0.0,9050,24573,0.0
1785527345.8,1000,0,0,0.0,9050,24573,0.0
1785527346.8,1000,0,0,0.0,9050,24573,0.0
1785527347.8,1000,0,0,0.0,9050,24573,0.0
1785527348.8,1000,0,0,0.0,9050,24573,0.0
1785527349.8,1000,0,0,0.0,9050,24573,0.0
1785527350.8,1000,0,0,0.0,9050,24573,0.0
1785527351.8,1000,0,0,0.0,9050,24573,0.0
1785527352.8,1000,0,0,0.0,9050,24573,0.0
1785527353.8,1000,0,0,0.0,9050,24573,0.0
1785527354.9,1000,0,0,0.0,9050,24573,0.0
1785527355.9,1000,0,0,0.0,9050,24573,0.0
1785527356.9,1000,0,0,0.0,9050,24573,0.0
1785527357.9,1000,0,0,0.0,9050,24573,0.0
1785527358.9,1000,0,0,0.0,9050,24573,0.0
1785527359.9,1000,0,0,0.0,9050,24573,0.0
1785527360.9,1000,0,0,0.0,9050,24573,0.0
1785527361.9,1000,0,0,0.0,9050,24573,0.0
1785527362.9,1000,0,0,0.0,9050,24573,0.0
1785527363.9,1000,0,0,0.0,9050,24573,0.0
1785527364.9,1000,0,0,0.0,9050,24573,0.0
1785527365.9,1000,0,0,0.0,9050,24573,0.0
1785527366.9,1000,0,0,0.0,9050,24573,0.0
1785527367.9,1000,0,0,0.0,9050,24573,0.0
1785527368.9,1000,0,0,0.0,9050,24573,0.0
1785527369.9,1000,0,0,0.0,9050,24573,0.0
1785527370.9,1000,0,0,0.0,9050,24573,0.0
1785527371.9,1000,0,0,0.0,9050,24573,0.0
1785527372.9,1000,0,0,0.0,9050,24573,0.0
1785527374.0,1000,0,0,0.0,9050,24573,0.0
1785527375.0,1000,0,0,0.0,9050,24573,0.0
1785527376.0,1000,0,0,0.0,9050,24573,0.0
1785527377.0,1000,0,0,0.0,9050,24573,0.0
1785527378.0,1000,0,0,0.0,9050,24573,0.0
1785527379.0,1000,0,0,0.0,9050,24573,0.0
1785527380.0,1000,0,0,0.0,9050,24573,0.0
1785527381.0,1000,0,0,0.0,9050,24573,0.0
1785527382.0,1000,0,0,0.0,9050,24573,0.0
1785527383.0,1000,0,0,0.0,9050,24573,0.0
1785527384.0,1000,0,0,0.0,9050,24573,0.0
1785527385.0,1000,0,0,0.0,9050,24573,0.0
1785527386.0,1000,0,0,0.0,9050,24573,0.0
1785527387.0,1000,0,0,0.0,9050,24573,0.0
1785527388.0,1000,0,0,0.0,9050,24573,0.0
1785527389.1,1000,0,0,0.0,9050,24573,0.0
1785527390.1,1000,0,0,0.0,9050,24573,0.0
1785527391.1,1000,0,0,0.0,9050,24573,0.0
1785527392.1,1000,0,0,0.0,9050,24573,0.0
1785527393.1,1000,0,0,0.0,9050,24573,0.0
1785527394.1,1000,0,0,0.0,9050,24573,0.0
1785527395.1,1000,0,0,0.0,9050,24573,0.0
1785527396.1,1000,0,0,0.0,9050,24573,0.0
1785527397.1,1000,0,0,0.0,9050,24573,0.0
1785527398.1,1000,0,0,0.0,9050,24573,0.0
1785527399.1,744,0,923,0.0,9051,24573,6176.535328633441
1785527400.1,98,0,913,0.0,9051,24573,17287.823218451642
1785527401.1,499,297,505,6718.636238812304,9051,24573,11309.886843850436
1785527402.1,512,0,949,0.0,9051,24573,17497.316145678993
1785527403.1,98,0,913,0.0,9051,24573,17079.577574387262
1785527404.1,734,0,698,0.0,9051,24573,9961.30352883331
1785527405.1,93,0,917,0.0,9051,24573,17587.378272434136
1785527406.1,634,0,604,0.0,9051,24573,10340.194643007524
1785527407.1,402,0,939,0.0,9051,24573,16949.051295172747
1785527408.1,240,0,768,0.0,9051,24573,15581.765973112597
1785527409.2,659,0,777,0.0,9051,24573,12662.865447845263
1785527410.2,95,0,915,0.0,9051,24573,17783.408854177014
1785527411.2,721,0,703,0.0,9051,24573,10587.366626544657
1785527412.2,91,0,919,0.0,9051,24573,18242.36815917423
1785527413.2,551,0,533,0.0,9051,24573,10772.870479946734
1785527414.2,478,0,944,0.0,9051,24573,17766.569750340444
1785527415.2,145,0,864,0.0,9051,24573,16404.181939073525
1785527416.2,691,0,728,0.0,9051,24573,12021.870894477419
1785527417.2,96,0,914,0.0,9051,24573,17794.229556373743
1785527418.2,725,0,700,0.0,9051,24573,10514.760250472142
1785527419.2,98,0,913,0.0,9051,24573,17538.610614818717
1785527420.2,491,0,514,0.0,9051,24573,11594.37744264263
1785527421.2,532,0,942,0.0,9051,24573,16132.922203204558
1785527422.2,98,0,912,0.0,9051,24573,17195.935425350723
1785527423.2,721,0,703,0.0,9051,24573,10643.054132159485
1785527424.2,95,0,915,0.0,9051,24573,17766.513765597552
1785527425.3,660,0,645,0.0,9051,24573,10784.476793189178
1785527426.3,322,0,933,0.0,9051,24573,17808.637181453163
1785527427.3,372,0,634,0.0,9051,24573,13760.597259930728
1785527428.3,591,0,860,0.0,9051,24573,14680.447754468847
1785527429.3,99,0,910,0.0,9051,24573,17249.94663941857
1785527430.3,742,0,694,0.0,9051,24573,9622.13130009246
1785527431.3,98,0,912,0.0,9051,24573,17598.160126705083
1785527432.3,537,0,515,0.0,9051,24573,10705.505257706933
1785527433.3,487,0,947,0.0,9051,24573,17971.605687508945
1785527434.3,137,0,874,0.0,9051,24573,16250.092939370215
1785527435.3,694,0,724,0.0,9051,24573,11881.216688775128
1785527436.3,97,0,912,0.0,9051,24573,17528.139012085205
1785527437.3,718,0,696,0.0,9051,24573,10590.815646265963
1785527438.3,131,0,914,0.0,9051,24573,17122.669312275557
1785527439.3,476,0,530,0.0,9051,24573,12367.50557256792
1785527440.3,539,0,944,0.0,9051,24573,15522.250206089815
1785527441.3,94,0,918,0.0,9051,24573,17938.466236268647
1785527442.3,724,0,701,0.0,9051,24573,10525.676884096189
1785527443.3,94,0,916,0.0,9051,24573,17098.314148990634
1785527444.3,606,0,548,0.0,9051,24573,9750.48554277662
1785527445.4,453,0,944,0.0,9051,24573,17256.44755651562
1785527446.4,364,0,657,0.0,9051,24573,10861.882428193996
1785527447.4,695,0,724,0.0,9051,24573,11764.430039612882
1785527448.4,96,0,913,0.0,9051,24573,17682.486023639565
1785527449.4,719,0,692,0.0,9051,24573,10396.76347756703
1785527450.4,147,0,915,0.0,9051,24573,17504.179931035025
1785527451.4,481,0,524,0.0,9051,24573,12092.629422989341
1785527452.4,527,0,944,0.0,9051,24573,16360.119243716857
1785527453.4,98,0,912,0.0,9051,24573,17889.277741280694
1785527454.4,721,0,703,0.0,9051,24573,10681.763962269135
1785527455.4,95,0,915,0.0,9051,24573,18160.203380119863
1785527456.4,695,0,669,0.0,9051,24573,10391.029265699579
1785527457.4,246,0,925,0.0,9051,24573,17460.47906293305
1785527458.4,403,0,603,0.0,9051,24573,13225.433881788456
1785527459.4,1000,0,0,0.0,9051,24573,0.0
1785527460.4,1000,0,0,0.0,9051,24573,0.0
1785527461.4,1000,0,0,0.0,9051,24573,0.0
1785527462.4,1000,0,0,0.0,9051,24573,0.0
1785527463.5,1000,0,0,0.0,9051,24573,0.0
1785527464.5,1000,0,0,0.0,9051,24573,0.0
1785527465.5,1000,0,0,0.0,9051,24573,0.0
1785527466.5,1000,0,0,0.0,9051,24573,0.0
1785527467.5,1000,0,0,0.0,9051,24573,0.0
1785527468.5,1000,0,0,0.0,9051,24573,0.0
1785527469.5,1000,0,0,0.0,9051,24573,0.0
1785527470.5,1000,0,0,0.0,9051,24573,0.0
1785527471.5,1000,0,0,0.0,9051,24573,0.0
1785527472.5,1000,0,0,0.0,9051,24573,0.0
1785527473.5,1000,0,0,0.0,9051,24573,0.0
1785527474.5,1000,0,0,0.0,9051,24573,0.0
1785527475.5,1000,0,0,0.0,9051,24573,0.0
1785527476.5,1000,0,0,0.0,9051,24573,0.0
1785527477.5,1000,0,0,0.0,9051,24573,0.0
1785527478.5,1000,0,0,0.0,9051,24573,0.0
1785527479.5,1000,0,0,0.0,9051,24573,0.0
1785527480.5,1000,0,0,0.0,9051,24573,0.0
1785527481.5,1000,0,0,0.0,9051,24573,0.0
1785527482.6,1000,0,0,0.0,9051,24573,0.0
1785527483.6,1000,0,0,0.0,9051,24573,0.0
1785527484.6,1000,0,0,0.0,9051,24573,0.0
1785527485.6,1000,0,0,0.0,9051,24573,0.0
1785527486.6,1000,0,0,0.0,9051,24573,0.0
1785527487.6,1000,0,0,0.0,9051,24573,0.0
1785527488.6,1000,0,0,0.0,9051,24573,0.0
1785527489.6,1000,0,0,0.0,9051,24573,0.0
1785527490.6,1000,0,0,0.0,9051,24573,0.0
1785527491.6,1000,0,0,0.0,9051,24573,0.0
1785527492.6,1000,0,0,0.0,9051,24573,0.0
1785527493.6,1000,0,0,0.0,9051,24573,0.0
1785527494.6,1000,0,0,0.0,9051,24573,0.0
1785527495.6,1000,0,0,0.0,9051,24573,0.0
1785527496.6,1000,0,0,0.0,9051,24573,0.0
1785527497.6,1000,0,0,0.0,9051,24573,0.0
1785527498.6,1000,0,0,0.0,9051,24573,0.0
1785527499.6,1000,0,0,0.0,9051,24573,0.0
1785527500.6,1000,0,0,0.0,9051,24573,0.0
1785527501.7,1000,0,0,0.0,9051,24573,0.0
1785527502.7,1000,0,0,0.0,9051,24573,0.0
1785527503.7,1000,0,0,0.0,9051,24573,0.0
1785527504.7,1000,0,0,0.0,9051,24573,0.0
1785527505.7,1000,0,0,0.0,9051,24573,0.0
1785527506.7,1000,0,0,0.0,9051,24573,0.0
1785527507.7,1000,0,0,0.0,9051,24573,0.0
1785527508.7,1000,0,0,0.0,9051,24573,0.0
1785527509.7,1000,0,0,0.0,9051,24573,0.0
1785527510.7,1000,0,0,0.0,9051,24573,0.0
1785527511.7,1000,0,0,0.0,9051,24573,0.0
1785527512.7,1000,0,0,0.0,9051,24573,0.0
1785527513.7,1000,0,0,0.0,9051,24573,0.0
1785527514.7,1000,0,0,0.0,9051,24573,0.0
1785527515.7,1000,0,0,0.0,9051,24573,0.0
1785527516.7,1000,0,0,0.0,9051,24573,0.0
1785527517.7,1000,0,0,0.0,9051,24573,0.0
1785527518.7,1000,0,0,0.0,9051,24573,0.0
1785527519.7,1000,0,0,0.0,9051,24573,0.0
1785527520.7,1000,0,0,0.0,9051,24573,0.0
1785527521.7,1000,0,0,0.0,9051,24573,0.0
1785527522.7,1000,0,0,0.0,9051,24573,0.0
1785527523.7,1000,0,0,0.0,9051,24573,0.0
1785527524.7,1000,0,0,0.0,9051,24573,0.0
1785527525.8,1000,0,0,0.0,9051,24573,0.0
1785527526.8,1000,0,0,0.0,9051,24573,0.0
1785527527.8,1000,0,0,0.0,9051,24573,0.0
1785527528.8,1000,0,0,0.0,9051,24573,0.0
1785527529.8,1000,0,0,0.0,9051,24573,0.0
1785527530.8,1000,0,0,0.0,9051,24573,0.0
1785527531.8,1000,0,0,0.0,9051,24573,0.0
1785527532.8,1000,0,0,0.0,9051,24573,0.0
1785527533.8,1000,0,0,0.0,9051,24573,0.0
1785527534.8,1000,0,0,0.0,9051,24573,0.0
1785527535.8,1000,0,0,0.0,9051,24573,0.0
1785527536.8,1000,0,0,0.0,9051,24573,0.0
1785527537.8,1000,0,0,0.0,9051,24573,0.0
1785527538.8,1000,0,0,0.0,9051,24573,0.0
1785527539.8,1000,0,0,0.0,9051,24573,0.0
1785527540.8,1000,0,0,0.0,9051,24573,0.0
1785527541.9,1000,0,0,0.0,9051,24573,0.0
1785527542.9,1000,0,0,0.0,9051,24573,0.0
1785527543.9,1000,0,0,0.0,9051,24573,0.0
1785527544.9,1000,0,0,0.0,9051,24573,0.0
1785527545.9,1000,0,0,0.0,9051,24573,0.0
1785527546.9,1000,0,0,0.0,9051,24573,0.0
1785527547.9,1000,0,0,0.0,9051,24573,0.0
1785527548.9,1000,0,0,0.0,9051,24573,0.0
1785527549.9,1000,0,0,0.0,9051,24573,0.0
1785527550.9,1000,0,0,0.0,9051,24573,0.0
1785527551.9,1000,0,0,0.0,9051,24573,0.0
1785527552.9,1000,0,0,0.0,9051,24573,0.0
1785527553.9,1000,0,0,0.0,9051,24573,0.0
1785527554.9,1000,0,0,0.0,9051,24573,0.0
1785527555.9,1000,0,0,0.0,9051,24573,0.0
1785527556.9,1000,0,0,0.0,9051,24573,0.0
1785527557.9,1000,0,0,0.0,9051,24573,0.0
1785527558.9,1000,0,0,0.0,9051,24573,0.0
1785527559.9,1000,0,0,0.0,9051,24573,0.0
1785527560.9,1000,0,0,0.0,9051,24573,0.0
