ts,hit_rate,young_per_1k,not_young_per_1k,pages_made_young_rate,old_pages,total_pages,reads_from_disk_rate
1785527583.8,1000,0,0,0.0,9051,24573,0.0
1785527584.8,1000,0,0,0.0,9051,24573,0.0
1785527585.8,1000,0,0,0.0,9051,24573,0.0
1785527586.8,1000,0,0,0.0,9051,24573,0.0
1785527587.8,1000,0,0,0.0,9051,24573,0.0
1785527588.8,1000,0,0,0.0,9051,24573,0.0
1785527589.8,1000,0,0,0.0,9051,24573,0.0
1785527590.8,1000,0,0,0.0,9051,24573,0.0
1785527591.8,1000,0,0,0.0,9051,24573,0.0
1785527592.8,1000,0,0,0.0,9051,24573,0.0
1785527593.8,1000,0,0,0.0,9051,24573,0.0
1785527594.8,1000,0,0,0.0,9051,24573,0.0
1785527595.8,1000,0,0,0.0,9051,24573,0.0
1785527596.8,1000,0,0,0.0,9051,24573,0.0
1785527597.8,1000,0,0,0.0,9051,24573,0.0
1785527598.8,1000,0,0,0.0,9051,24573,0.0
1785527599.8,1000,0,0,0.0,9051,24573,0.0
1785527600.9,1000,0,0,0.0,9051,24573,0.0
1785527601.9,1000,0,0,0.0,9051,24573,0.0
1785527602.9,1000,0,0,0.0,9051,24573,0.0
1785527603.9,1000,0,0,0.0,9051,24573,0.0
1785527604.9,1000,0,0,0.0,9051,24573,0.0
1785527605.9,1000,0,0,0.0,9051,24573,0.0
1785527606.9,1000,0,0,0.0,9051,24573,0.0
1785527607.9,1000,0,0,0.0,9051,24573,0.0
1785527608.9,1000,0,0,0.0,9051,24573,0.0
1785527609.9,1000,0,0,0.0,9051,24573,0.0
1785527610.9,1000,0,0,0.0,9051,24573,0.0
1785527611.9,1000,0,0,0.0,9051,24573,0.0
1785527612.9,1000,0,0,0.0,9051,24573,0.0
1785527613.9,1000,0,0,0.0,9051,24573,0.0
1785527614.9,1000,0,0,0.0,9051,24573,0.0
1785527615.9,1000,0,0,0.0,9051,24573,0.0
1785527617.0,1000,0,0,0.0,9051,24573,0.0
1785527618.0,1000,0,0,0.0,9051,24573,0.0
1785527619.0,1000,0,0,0.0,9051,24573,0.0
1785527620.0,1000,0,0,0.0,9051,24573,0.0
1785527621.0,1000,0,0,0.0,9051,24573,0.0
1785527622.0,1000,0,0,0.0,9051,24573,0.0
1785527623.0,1000,0,0,0.0,9051,24573,0.0
1785527624.0,1000,0,0,0.0,9051,24573,0.0
1785527625.0,1000,0,0,0.0,9051,24573,0.0
1785527626.0,1000,0,0,0.0,9051,24573,0.0
1785527627.0,1000,0,0,0.0,9051,24573,0.0
1785527628.0,1000,0,0,0.0,9051,24573,0.0
1785527629.0,1000,0,0,0.0,9051,24573,0.0
1785527630.0,1000,0,0,0.0,9051,24573,0.0
1785527631.0,1000,0,0,0.0,9051,24573,0.0
1785527632.0,1000,0,0,0.0,9051,24573,0.0
1785527633.0,1000,0,0,0.0,9051,24573,0.0
1785527634.0,1000,0,0,0.0,9051,24573,0.0
1785527635.1,1000,0,0,0.0,9051,24573,0.0
1785527636.1,1000,0,0,0.0,9051,24573,0.0
1785527637.1,1000,0,0,0.0,9051,24573,0.0
1785527638.1,1000,0,0,0.0,9051,24573,0.0
1785527639.1,1000,0,0,0.0,9051,24573,0.0
1785527640.1,1000,0,0,0.0,9051,24573,0.0
1785527641.1,1000,0,0,0.0,9051,24573,0.0
1785527642.1,1000,0,0,0.0,9051,24573,0.0
1785527643.1,1000,0,0,0.0,9051,24573,0.0
1785527644.1,863,137,0,563.1007021219673,9050,24573,563.1007021219673
1785527645.1,811,192,0,1348.8069813111854,9050,24573,1327.0838820514152
1785527646.1,813,188,0,1347.0316998405697,9050,24573,1340.052260981292
1785527647.1,826,196,0,1435.960555305538,9050,24573,1275.523602214496
1785527648.1,775,246,0,1395.868032551866,9050,24573,1275.3112645727256
1785527649.1,551,474,0,1545.6736998718204,9050,24573,1465.0558185520408
1785527650.1,587,440,0,1557.4283673137584,9050,24573,1464.8783109813753
1785527651.1,577,431,0,1310.5190154012505,9050,24573,1284.725302758985
1785527652.1,585,514,0,1620.278324116275,9050,24573,1307.3832479954199
1785527653.2,549,528,0,1669.9527747904456,9050,24573,1428.1181357713285
1785527654.2,593,491,0,1550.299339169782,9050,24573,1283.6239714563662
1785527655.2,566,504,0,1565.4742599455953,9050,24573,1348.0748541573357
1785527656.2,561,503,0,1398.2934486537838,9050,24573,1221.1564866516414
1785527657.2,572,501,0,1576.5409375863865,9050,24573,1347.496310804968
1785527658.2,570,502,0,1520.0723341800128,9050,24573,1302.065889395846
1785527659.2,571,491,0,1462.3055074603287,9050,24573,1276.049792417956
1785527660.2,553,508,0,1637.885839315156,9050,24573,1442.614778180259
1785527661.2,583,489,0,1551.2201295006848,9050,24573,1321.7792100246993
1785527662.2,592,475,0,1448.1737192356363,9050,24573,1243.854646666259
1785527663.2,548,511,0,1626.5626216058508,9050,24573,1437.8893016393602
1785527664.2,557,506,0,1639.6191539673093,9050,24573,1437.014014387262
1785527665.2,551,491,0,1521.2646196620333,9050,24573,1388.6773362969936
1785527666.2,582,495,0,1559.4823841705854,9050,24573,1315.6577612466585
1785527667.2,567,492,0,1559.8072509758076,9050,24573,1370.769697082166
1785527668.2,562,500,0,1583.0737878050306,9050,24573,1386.931941139879
1785527669.2,554,506,0,1639.6459603524982,9050,24573,1447.3909965930618
1785527670.2,550,506,0,1634.8436345133127,9050,24573,1453.415865317323
1785527671.2,599,481,0,1692.2033898305083,9050,24573,1410.1694915254236
1785527672.2,575,495,0,1527.7972639665152,9050,24573,1310.8201932533555
1785527673.2,770,256,0,1466.2624713556327,9050,24573,1314.065620529709
1785527674.3,800,228,0,1645.9570606287275,9050,24573,1442.93588287368
1785527675.3,810,215,0,1563.7156146802283,9050,24573,1386.2019798504575
1785527676.3,817,213,0,1542.3249608946674,9050,24573,1319.7315573017872
1785527677.3,705,340,0,1538.5581260188005,9050,24573,1333.946780660587
1785527678.3,822,201,0,1108.462755680317,9050,24573,981.8667395189858
1785527679.3,804,228,0,1611.902089332175,8966,24344,1383.192971166598
1785527680.3,814,210,0,1472.9590421893083,9050,24573,1307.5252120110774
1785527681.3,820,207,0,1434.067620769781,9050,24573,1251.8215272969546
1785527682.3,716,311,0,1579.9840922562744,9050,24573,1440.2238933804058
1785527683.3,580,482,0,1523.9732367614454,9050,24573,1330.6110340592084
1785527684.3,555,495,0,1607.869660873162,9050,24573,1445.488771949788
1785527685.3,576,494,0,1611.4886395586977,9050,24573,1381.275976764598
1785527686.3,568,497,0,1575.3735476059758,9050,24573,1371.6186092720798
1785527687.3,560,505,0,1650.4152411399962,9050,24573,1440.3804909104792
1785527688.3,544,524,0,1647.6713613747486,9050,24573,1436.2268525300472
1785527689.3,569,494,0,1575.1883410405426,9050,24573,1373.9308806419408
1785527690.3,560,491,0,1543.0916143149404,9050,24573,1382.1251999433882
1785527691.3,579,498,0,1553.9160404591016,9050,24573,1315.6954287402273
1785527692.3,570,491,0,1570.5776463654827,9050,24573,1375.499561012102
1785527693.3,554,508,0,1647.1097863435766,9050,24573,1445.6861197003561
1785527694.3,541,523,0,1647.2719650458373,9050,24573,1447.7821946985596
1785527695.3,563,503,0,1598.0317432588208,9050,24573,1386.3521653271487
1785527696.4,553,509,0,1644.5951582975274,9050,24573,1444.617162642474
1785527697.4,552,508,0,1715.835770429496,9050,24573,1511.1674619706216
1785527698.4,551,500,0,1613.8679126133159,9050,24573,1450.5894809855654
1785527699.4,579,484,0,1438.2665439893415,9050,24573,1252.8766776123368
1785527700.4,573,496,0,1455.0623735343147,9050,24573,1252.887382550423
1785527701.4,566,510,0,1627.1865514765602,9050,24573,1383.7024324599947
1785527702.4,548,511,0,1723.5921177289276,9050,24573,1526.8939970889692
1785527703.4,545,508,0,1553.2379135075528,9050,24573,1389.9487995234254
1785527704.4,589,484,0,1541.5888860204034,9050,24573,1310.0537131521273
1785527705.4,543,518,0,1656.0561193609637,9050,24573,1460.6395032292667
1785527706.4,724,313,0,1575.0155891968607,9050,24573,1386.9688763995096
1785527707.4,805,226,0,1531.5257323446506,9050,24573,1325.9919858540982
1785527708.4,813,216,0,1520.7591208857818,9050,24573,1316.5969599286207
1785527709.4,820,209,0,1380.5241167766253,9050,24573,1185.5797890473614
1785527710.4,777,246,0,1499.5685519264637,9050,24573,1361.802505186359
1785527711.4,737,360,0,843.7753362036526,9050,24573,616.6433684888559
1785527712.4,979,111,0,194.33971449546567,9050,24573,37.87132897860357
1785527713.4,981,88,0,149.13117415724736,8680,23570,32.80885831459442
1785527714.4,986,83,0,139.94325336806116,8689,23595,24.812633575897372
1785527715.4,985,58,0,95.5960230604534,8699,23620,24.894797671993075
1785527716.4,993,42,0,73.61990771302848,8705,23637,12.26998461883808
1785527717.5,997,27,0,47.44975095592911,8707,23643,5.931218869491139
1785527718.5,993,25,0,43.55211725579289,8712,23655,11.87785016067079
1785527719.5,998,15,0,25.77444670855225,8713,23659,3.9652994936234234
1785527720.5,997,17,0,27.90025658271679,8715,23664,4.982188675485141
1785527721.5,1000,12,0,20.903213772365486,8715,23665,0.9953911320174041
1785527722.5,999,10,0,17.904139001767163,8716,23667,1.9893487779741292
1785527723.5,1000,6,0,11.95401438894352,8716,23668,0.9961678657452934
1785527724.5,998,8,0,14.928174328258056,8718,23673,4.976058109419352
1785527725.5,1000,2,0,3.980076893274643,8718,23673,0.0
1785527726.5,1000,1,0,2.985244185765031,8718,23673,0.0
1785527727.5,1000,1,0,1.9786497107308605,8718,23673,0.0
1785527728.5,1000,1,0,2.989294338549346,8719,23674,0.9964314461831153
1785527729.5,1000,1,0,2.985885471547501,8719,23675,0.9952951571825004
1785527730.5,1000,2,0,3.957713642364187,8719,23675,0.0
