ts,hit_rate,young_per_1k,not_young_per_1k,pages_made_young_rate,old_pages,total_pages,reads_from_disk_rate
1785483931.1,984,16,0,752.0544467888545,8672,23549,752.7957523056499
1785483932.1,1000,0,0,0.0,8672,23549,0.0
1785483933.1,1000,0,0,0.0,8672,23549,0.0
1785483934.1,1000,0,0,0.0,8672,23549,0.0
1785483935.1,1000,0,0,0.0,8672,23549,0.0
1785483936.1,1000,0,0,0.0,8672,23549,0.0
1785483937.1,1000,0,0,0.0,8672,23549,0.0
1785483938.1,1000,0,0,0.0,8672,23549,0.0
1785483939.1,1000,0,0,0.0,8672,23549,0.0
1785483940.1,1000,0,0,0.0,8672,23549,0.0
1785483941.1,1000,0,0,0.0,8672,23549,0.0
1785483942.1,1000,0,0,0.0,8672,23549,0.0
1785483943.1,1000,0,0,0.0,8672,23549,0.0
1785483944.1,1000,0,0,0.0,8672,23549,0.0
1785483945.1,1000,0,0,0.0,8672,23549,0.0
1785483946.1,1000,0,0,0.0,8672,23549,0.0
1785483947.1,1000,0,0,0.0,8672,23549,0.0
1785483948.1,1000,0,0,0.0,8672,23549,0.0
1785483949.1,1000,0,0,0.0,8672,23549,0.0
1785483950.1,1000,0,0,0.0,8672,23549,0.0
1785483951.1,1000,0,0,0.0,8672,23549,0.0
1785483952.1,1000,0,0,0.0,8672,23549,0.0
1785483953.1,1000,0,0,0.0,8672,23549,0.0
1785483954.2,1000,0,0,0.0,8672,23549,0.0
1785483955.2,1000,0,0,0.0,8672,23549,0.0
1785483956.2,1000,0,0,0.0,8672,23549,0.0
1785483957.2,1000,0,0,0.0,8672,23549,0.0
1785483958.2,1000,0,0,0.0,8672,23549,0.0
1785483959.2,1000,0,0,0.0,8672,23549,0.0
1785483960.2,1000,0,0,0.0,8672,23549,0.0
1785483961.2,1000,0,0,0.0,8672,23549,0.0
1785483962.2,1000,0,0,0.0,8672,23549,0.0
1785483963.2,1000,0,0,0.0,8672,23549,0.0
1785483964.2,1000,0,0,0.0,8672,23549,0.0
1785483965.2,1000,0,0,0.0,8672,23549,0.0
1785483966.2,1000,0,0,0.0,8672,23549,0.0
1785483967.2,1000,0,0,0.0,8672,23549,0.0
1785483968.2,1000,0,0,0.0,8672,23549,0.0
