ts,latency_ms,status
1785265870.4445791,2.98,ok
1785265870.4454248,3.63,ok
1785265870.44629,2.63,ok
1785265870.446361,4.62,ok
1785265870.4465349,4.48,ok
1785265870.446607,4.34,ok
1785265870.446764,4.62,ok
1785265870.446943,5.07,ok
1785265870.447449,2.86,ok
1785265870.44835,2.92,ok
1785265870.449269,2.90,ok
1785265870.451203,4.66,ok
1785265870.451284,4.51,ok
1785265870.451367,5.07,ok
1785265870.451494,4.55,ok
1785265870.451668,5.06,ok
1785265870.452354,4.00,ok
1785265870.452551,5.10,ok
1785265870.4527,3.43,ok
1785265870.4540842,2.88,ok
1785265870.455412,3.74,ok
1785265870.4554791,4.19,ok
1785265870.455637,4.27,ok
1785265870.455693,4.20,ok
1785265870.457697,5.14,ok
1785265870.457783,5.08,ok
1785265870.457984,5.61,ok
1785265870.458678,4.59,ok
1785265870.460122,4.64,ok
1785265870.46019,4.77,ok
1785265870.460274,4.58,ok
1785265870.460374,4.73,ok
1785265870.462187,4.49,ok
1785265870.4636369,5.64,ok
1785265870.4637592,5.97,ok
1785265870.463891,5.21,ok
1785265870.46512,4.98,ok
1785265870.4652648,4.99,ok
1785265870.465377,5.00,ok
1785265870.465469,5.27,ok
1785265870.4664571,4.27,ok
1785265870.471762,7.99,ok
1785265870.4731672,9.27,ok
1785265870.473378,9.74,ok
1785265870.474706,9.44,ok
1785265870.474773,8.31,ok
1785265870.474855,9.38,ok
1785265870.475039,9.91,ok
1785265870.475111,9.73,ok
1785265870.4757671,4.00,ok
1785265870.4764428,3.06,ok
1785265870.476481,3.31,ok
1785265870.478236,3.11,ok
1785265870.479254,4.21,ok
1785265870.47932,4.54,ok
1785265870.479455,3.68,ok
1785265870.479502,4.64,ok
1785265870.479579,4.87,ok
1785265870.480052,3.57,ok
1785265870.4800892,3.64,ok
1785265870.480746,2.50,ok
1785265870.481694,2.37,ok
1785265870.482563,3.10,ok
1785265870.4826381,3.06,ok
1785265870.4826891,3.18,ok
1785265870.482743,3.48,ok
1785265870.483445,3.39,ok
1785265870.48354,3.45,ok
1785265870.483695,2.95,ok
1785265870.483732,2.04,ok
1785265870.4857368,2.99,ok
1785265870.48635,3.71,ok
1785265870.48639,3.82,ok
1785265870.486444,3.75,ok
1785265870.4866948,3.25,ok
1785265870.486766,3.07,ok
1785265870.486855,3.12,ok
1785265870.486885,3.34,ok
1785265870.487475,1.73,ok
1785265870.48809,1.64,ok
1785265870.488925,2.57,ok
1785265870.48896,2.26,ok
1785265870.489006,2.12,ok
1785265870.489046,2.19,ok
1785265870.489156,2.76,ok
1785265870.48978,3.01,ok
1785265870.4898372,2.36,ok
1785265870.490109,2.02,ok
1785265870.490722,1.80,ok
1785265870.4914079,2.25,ok
1785265870.49144,2.39,ok
1785265870.491476,2.51,ok
1785265870.491539,2.53,ok
1785265870.493181,3.40,ok
1785265870.4932191,3.38,ok
1785265870.493245,3.13,ok
1785265870.493689,2.97,ok
1785265870.494445,2.90,ok
1785265870.4944892,3.01,ok
1785265870.494517,3.07,ok
1785265870.4945621,3.15,ok
1785265870.495132,1.89,ok
1785265870.495163,1.98,ok
1785265870.495187,1.97,ok
1785265870.495753,2.06,ok
1785265870.496259,1.81,ok
1785265870.496504,2.01,ok
1785265870.496577,2.01,ok
1785265870.496612,2.09,ok
1785265870.4984891,3.36,ok
1785265870.498525,3.34,ok
1785265870.498589,3.42,ok
1785265870.499139,3.38,ok
1785265870.4998112,3.31,ok
1785265870.499861,3.25,ok
1785265870.499895,3.32,ok
1785265870.4999208,3.66,ok
1785265870.5004969,1.97,ok
1785265870.500521,2.03,ok
1785265870.5005739,1.98,ok
1785265870.5006552,1.51,ok
1785265870.501415,1.60,ok
1785265870.502031,2.11,ok
1785265870.502096,2.23,ok
1785265870.502125,2.23,ok
1785265870.502722,2.22,ok
1785265870.502794,2.22,ok
1785265870.5028212,2.16,ok
1785265870.5028548,2.33,ok
1785265870.504564,3.15,ok
1785265870.5051572,3.03,ok
1785265870.5057752,3.68,ok
1785265870.5057979,3.77,ok
1785265870.5063932,3.60,ok
1785265870.506457,3.73,ok
1785265870.506492,3.63,ok
1785265870.5066922,2.13,ok
1785265870.5067399,1.58,ok
1785265870.506825,4.00,ok
1785265870.5074189,1.62,ok
1785265870.5081081,2.33,ok
1785265870.508777,2.38,ok
1785265870.508831,2.34,ok
1785265870.5096362,2.81,ok
1785265870.509919,2.50,ok
1785265870.5099761,3.52,ok
1785265870.5100281,3.32,ok
1785265870.510129,3.39,ok
1785265870.51069,2.58,ok
1785265870.514368,5.54,ok
1785265870.515243,6.46,ok
1785265870.515286,5.65,ok
1785265870.515927,5.95,ok
1785265870.5160801,6.05,ok
1785265870.51614,6.01,ok
1785265870.516185,6.26,ok
1785265870.5163038,5.61,ok
1785265870.517339,2.97,ok
1785265870.51858,3.29,ok
1785265870.518636,3.39,ok
1785265870.519756,3.83,ok
1785265870.519836,3.53,ok
1785265870.5198798,3.69,ok
1785265870.5200698,3.99,ok
1785265870.520172,4.03,ok
1785265870.520702,3.36,ok
1785265870.521425,2.78,ok
1785265870.521457,2.88,ok
1785265870.5222468,2.49,ok
1785265870.52228,2.21,ok
1785265870.5241861,4.35,ok
1785265870.52423,4.35,ok
1785265870.524266,4.09,ok
1785265870.525015,4.31,ok
1785265870.525725,1.54,ok
1785265870.525774,4.31,ok
1785265870.525857,3.57,ok
1785265870.5258958,3.65,ok
1785265870.52598,4.55,ok
