ts,history_list_len,plain_ibd_bytes,part_ibd_bytes
1785265870.5,0,754974720,394264576
1785265871.6,0,754974720,394264576
1785265872.7,0,754974720,394264576
1785265873.7,0,754974720,394264576
1785265874.8,0,754974720,394264576
1785265875.9,0,754974720,394264576
1785265876.9,0,754974720,394264576
1785265878.0,0,754974720,394264576
1785265879.1,0,754974720,394264576
1785265880.1,0,754974720,394264576
1785265881.2,6,754974720,394264576
1785265882.3,15,754974720,394264576
1785265883.4,23,754974720,394264576
1785265884.4,30,754974720,394264576
1785265885.5,39,754974720,394264576
1785265886.6,6,754974720,394264576
1785265887.6,14,754974720,394264576
1785265888.7,21,754974720,394264576
1785265889.7,29,754974720,394264576
1785265890.8,38,754974720,394264576
1785265891.9,46,754974720,394264576
1785265892.9,4,754974720,394264576
1785265894.0,12,754974720,394264576
1785265895.1,20,754974720,394264576
1785265896.1,29,754974720,394264576
1785265897.2,38,754974720,394264576
1785265898.3,3,754974720,394264576
1785265899.3,11,754974720,394264576
1785265900.4,20,754974720,394264576
1785265901.4,28,754974720,394264576
1785265902.5,36,754974720,394264576
1785265903.6,44,754974720,394264576
1785265904.7,6,754974720,394264576
1785265905.8,14,754974720,394264576
1785265906.8,22,754974720,394264576
1785265907.9,31,754974720,394264576
1785265909.0,39,754974720,394264576
1785265910.0,4,754974720,394264576
1785265911.1,11,754974720,394264576
1785265912.2,20,754974720,394264576
1785265913.3,29,754974720,394264576
1785265914.4,37,754974720,394264576
1785265915.4,45,754974720,394264576
1785265916.5,8,754974720,394264576
1785265917.6,15,754974720,394264576
1785265918.6,24,754974720,394264576
1785265919.7,33,754974720,394264576
1785265920.8,1,754974720,394264576
1785265921.8,9,754974720,394264576
1785265922.9,16,754974720,394264576
1785265924.0,26,754974720,394264576
1785265925.0,35,754974720,394264576
1785265926.1,0,754974720,394264576
1785265927.2,0,754974720,394264576
1785265928.3,0,754974720,394264576
1785265929.3,0,754974720,394264576
1785265930.4,0,754974720,394264576
1785265931.5,0,754974720,394264576
1785265932.6,0,754974720,394264576
1785265933.6,0,754974720,394264576
1785265934.8,0,754974720,394264576
1785265935.8,1,754974720,394264576
1785265936.9,1,754974720,394264576
1785265938.0,1,754974720,394264576
1785265939.1,1,754974720,394264576
1785265940.1,1,754974720,394264576
1785265941.2,1,754974720,394264576
1785265942.3,1,754974720,394264576
1785265943.3,1,754974720,394264576
1785265944.4,1,754974720,394264576
1785265945.5,1,754974720,394264576
1785265946.6,1,754974720,394264576
1785265947.6,0,754974720,394264576
1785265948.7,0,754974720,394264576
1785265949.8,0,754974720,394264576
1785265950.9,0,754974720,394264576
1785265952.0,0,754974720,394264576
1785265953.0,0,754974720,394264576
1785265954.1,0,754974720,394264576
1785265955.2,0,754974720,394264576
1785265956.2,0,754974720,394264576
1785265957.3,0,754974720,394264576
1785265958.4,0,754974720,394264576
1785265959.4,0,754974720,394264576
1785265960.5,0,754974720,394264576
1785265961.6,0,754974720,394264576
1785265962.7,0,754974720,394264576
1785265963.7,0,754974720,394264576
1785265964.8,0,754974720,394264576
1785265965.9,0,754974720,394264576
1785265967.0,0,754974720,394264576
1785265968.0,0,754974720,394264576
1785265969.1,0,754974720,394264576
1785265970.2,0,754974720,394264576
1785265971.2,0,754974720,394264576
1785265972.3,0,754974720,394264576
1785265973.4,0,754974720,394264576
1785265974.4,0,754974720,394264576
1785265975.5,0,754974720,394264576
1785265976.6,0,754974720,394264576
1785265977.7,0,754974720,394264576
1785265978.7,0,754974720,394264576
1785265979.8,0,754974720,394264576
1785265980.9,0,754974720,394264576
1785265982.0,0,754974720,394264576
1785265983.0,0,754974720,394264576
1785265984.1,0,754974720,394264576
1785265985.2,0,754974720,394264576
1785265986.3,0,754974720,394264576
1785265987.3,0,754974720,394264576
1785265988.4,0,754974720,394264576
1785265989.5,0,754974720,394264576
1785265990.6,0,754974720,394264576
1785265991.7,0,754974720,394264576
1785265992.7,1,754974720,394264576
1785265993.8,1,754974720,394264576
1785265994.9,1,754974720,394264576
1785265995.9,1,754974720,394264576
1785265997.0,1,754974720,394264576
1785265998.0,1,754974720,394264576
1785265999.1,1,754974720,394264576
1785266000.2,1,754974720,394264576
1785266001.3,1,754974720,394264576
1785266002.3,1,754974720,394264576
1785266003.4,1,754974720,394264576
1785266004.5,0,754974720,394264576
1785266005.6,0,754974720,394264576
1785266006.7,0,754974720,394264576
1785266007.7,0,754974720,394264576
1785266008.8,0,754974720,394264576
1785266009.9,0,754974720,394264576
1785266010.9,0,754974720,394264576
1785266012.0,0,754974720,394264576
1785266013.1,0,754974720,394264576
1785266014.1,0,754974720,394264576
1785266015.2,0,754974720,394264576
1785266016.3,0,754974720,394264576
1785266017.3,0,754974720,394264576
1785266018.4,0,754974720,394264576
1785266019.5,0,754974720,394264576
1785266020.5,0,754974720,394264576
1785266021.6,0,754974720,394264576
1785266022.7,0,754974720,394264576
1785266023.7,0,754974720,394264576
1785266024.8,0,754974720,394264576
1785266025.8,0,754974720,394264576
1785266026.9,0,754974720,394264576
1785266028.0,0,754974720,394264576
1785266029.0,0,754974720,394264576
1785266030.1,0,754974720,394264576
1785266031.2,0,754974720,394264576
1785266032.2,0,754974720,394264576
1785266033.3,0,754974720,394264576
1785266034.3,0,754974720,394264576
1785266035.4,0,754974720,394264576
1785266036.5,0,754974720,394264576
1785266037.5,0,754974720,394264576
1785266038.6,0,754974720,394264576
1785266039.6,0,754974720,394264576
1785266040.7,0,754974720,394264576
1785266041.8,0,754974720,394264576
1785266042.8,0,754974720,394264576
1785266043.9,0,754974720,394264576
1785266045.0,0,754974720,394264576
1785266046.0,0,754974720,394264576
1785266047.1,0,754974720,394264576
1785266048.1,0,754974720,394264576
1785266049.2,0,754974720,394264576
1785266050.3,0,754974720,394264576
1785266051.3,0,754974720,394264576
1785266052.4,0,754974720,394264576
1785266053.5,0,754974720,394264576
1785266054.5,0,754974720,394264576
1785266055.6,1,754974720,394264576
1785266056.6,1,754974720,394264576
1785266057.7,1,754974720,394264576
1785266058.8,1,754974720,394264576
1785266059.8,1,754974720,394264576
1785266060.9,1,754974720,394264576
1785266062.0,1,754974720,394264576
1785266063.0,1,754974720,394264576
1785266064.1,1,754974720,394264576
1785266065.1,1,754974720,394264576
1785266066.2,1,754974720,394264576
1785266067.3,0,754974720,394264576
1785266068.3,0,754974720,394264576
1785266069.4,0,754974720,394264576
1785266070.5,0,754974720,394264576
1785266071.5,0,754974720,394264576
1785266072.6,0,754974720,394264576
1785266073.7,0,754974720,394264576
1785266074.7,0,754974720,394264576
1785266075.8,0,754974720,394264576
1785266076.8,0,754974720,394264576
1785266077.9,0,754974720,394264576
1785266079.0,0,754974720,394264576
1785266080.0,0,754974720,394264576
1785266081.1,0,754974720,394264576
1785266082.2,0,754974720,394264576
1785266083.2,0,754974720,394264576
1785266084.3,0,754974720,394264576
1785266085.4,0,754974720,394264576
1785266086.4,0,754974720,394264576
1785266087.5,0,754974720,394264576
1785266088.5,0,754974720,394264576
1785266089.6,0,754974720,394264576
1785266090.7,0,754974720,394264576
1785266091.7,0,754974720,394264576
1785266092.8,0,754974720,394264576
1785266093.9,0,754974720,394264576
1785266094.9,0,754974720,394264576
1785266096.0,0,754974720,394264576
1785266097.1,0,754974720,394264576
1785266098.1,0,754974720,394264576
1785266099.2,0,754974720,394264576
1785266100.3,0,754974720,394264576
1785266101.3,0,754974720,394264576
1785266102.4,0,754974720,394264576
1785266103.5,0,754974720,394264576
1785266104.5,0,754974720,394264576
1785266105.6,0,754974720,394264576
1785266106.7,0,754974720,394264576
1785266107.8,0,754974720,394264576
