ts,latency_ms,status
1785246373.028667,3.37,ok
1785246373.0293481,3.19,ok
1785246373.029427,4.44,ok
1785246373.029514,3.63,ok
1785246373.029579,4.49,ok
1785246373.029692,4.16,ok
1785246373.029782,5.09,ok
1785246373.0299,4.45,ok
1785246373.030596,1.92,ok
1785246373.03138,2.03,ok
1785246373.032135,2.35,ok
1785246373.032186,2.67,ok
1785246373.0322418,2.66,ok
1785246373.032286,2.59,ok
1785246373.032328,2.42,ok
1785246373.032416,2.98,ok
1785246373.033103,2.50,ok
1785246373.03329,1.91,ok
1785246373.0340962,1.81,ok
1785246373.034812,2.62,ok
1785246373.034862,2.62,ok
1785246373.034909,2.77,ok
1785246373.035019,2.60,ok
1785246373.035082,2.74,ok
1785246373.035574,2.28,ok
1785246373.035711,2.61,ok
1785246373.035997,1.90,ok
1785246373.036638,1.82,ok
1785246373.037974,2.89,ok
1785246373.038025,3.00,ok
1785246373.038072,3.21,ok
1785246373.0381482,3.24,ok
1785246373.038898,3.18,ok
1785246373.038929,3.35,ok
1785246373.039704,3.70,ok
1785246373.039735,3.09,ok
1785246373.0406,2.45,ok
1785246373.040687,2.66,ok
1785246373.040742,2.76,ok
1785246373.04085,2.78,ok
1785246373.041589,2.66,ok
1785246373.041674,2.77,ok
1785246373.042388,2.65,ok
1785246373.042441,2.74,ok
1785246373.0443032,3.45,ok
1785246373.046436,5.75,ok
1785246373.046516,5.91,ok
1785246373.0466728,5.93,ok
1785246373.047677,6.00,ok
1785246373.047758,5.37,ok
1785246373.047856,6.26,ok
1785246373.0479848,3.68,ok
1785246373.048203,5.76,ok
1785246373.048991,2.47,ok
1785246373.050139,3.70,ok
1785246373.05155,3.79,ok
1785246373.051616,3.93,ok
1785246373.051782,5.11,ok
1785246373.052581,4.37,ok
1785246373.052667,4.68,ok
1785246373.052733,3.74,ok
1785246373.0529768,5.12,ok
1785246373.0531251,2.98,ok
1785246373.054701,3.08,ok
1785246373.055391,3.84,ok
1785246373.055539,3.75,ok
1785246373.056055,3.47,ok
1785246373.056138,3.15,ok
1785246373.0562,3.53,ok
1785246373.056267,3.53,ok
1785246373.05631,3.18,ok
1785246373.05668,1.97,ok
1785246373.057895,2.50,ok
1785246373.058858,3.32,ok
1785246373.059965,3.91,ok
1785246373.060022,3.88,ok
1785246373.060076,3.76,ok
1785246373.060114,3.91,ok
1785246373.060286,4.02,ok
1785246373.0612469,3.35,ok
1785246373.061281,4.60,ok
1785246373.062212,3.35,ok
1785246373.063503,3.39,ok
1785246373.0635478,3.47,ok
1785246373.0636559,3.63,ok
1785246373.063794,3.51,ok
1785246373.063901,3.93,ok
1785246373.064684,3.40,ok
1785246373.065321,3.11,ok
1785246373.065382,4.13,ok
1785246373.067334,3.67,ok
1785246373.0691001,5.59,ok
1785246373.069202,5.65,ok
1785246373.0692391,4.55,ok
1785246373.0693388,5.54,ok
1785246373.069399,5.49,ok
1785246373.0699031,4.58,ok
1785246373.069939,4.55,ok
1785246373.070836,3.50,ok
1785246373.071476,2.23,ok
1785246373.0716128,2.21,ok
1785246373.0716941,2.49,ok
1785246373.071733,2.63,ok
1785246373.0718431,2.50,ok
1785246373.0733628,3.46,ok
1785246373.073387,3.44,ok
1785246373.075037,4.20,ok
1785246373.07507,3.59,ok
1785246373.075217,3.52,ok
1785246373.075252,3.52,ok
1785246373.075302,3.69,ok
1785246373.075595,3.75,ok
1785246373.0760372,2.65,ok
1785246373.0769548,3.59,ok
1785246373.078495,3.42,ok
1785246373.08063,5.59,ok
1785246373.0807402,5.52,ok
1785246373.08108,5.82,ok
1785246373.081141,5.10,ok
1785246373.081337,6.03,ok
1785246373.081486,5.89,ok
1785246373.082463,5.50,ok
1785246373.0827131,4.21,ok
1785246373.084491,3.86,ok
1785246373.0855072,4.77,ok
1785246373.08556,4.42,ok
1785246373.085634,4.30,ok
1785246373.08582,4.32,ok
1785246373.0859609,4.88,ok
1785246373.086828,4.35,ok
1785246373.086932,4.17,ok
1785246373.08708,2.58,ok
1785246373.0879529,2.39,ok
1785246373.088892,3.26,ok
1785246373.088969,3.46,ok
1785246373.089037,3.21,ok
1785246373.0890958,3.13,ok
1785246373.0907469,3.92,ok
1785246373.090784,3.70,ok
1785246373.090815,3.88,ok
1785246373.09233,4.37,ok
1785246373.093099,2.28,ok
1785246373.093174,4.28,ok
1785246373.093224,4.18,ok
1785246373.0933151,4.34,ok
1785246373.0933912,4.29,ok
1785246373.093854,3.07,ok
1785246373.093893,3.14,ok
1785246373.094652,2.32,ok
1785246373.095219,2.12,ok
1785246373.0972118,3.90,ok
1785246373.0972621,3.87,ok
1785246373.097298,4.12,ok
1785246373.0973818,4.16,ok
1785246373.097934,4.04,ok
1785246373.097986,3.33,ok
1785246373.098071,4.22,ok
1785246373.0981178,2.90,ok
1785246373.099068,1.68,ok
1785246373.099796,2.58,ok
1785246373.09984,2.58,ok
1785246373.099921,2.62,ok
1785246373.1006248,2.51,ok
1785246373.100671,2.68,ok
1785246373.100778,2.84,ok
1785246373.100823,2.75,ok
1785246373.101396,2.33,ok
1785246373.102081,2.24,ok
1785246373.102257,2.33,ok
1785246373.102292,2.49,ok
1785246373.103502,2.87,ok
1785246373.103557,2.88,ok
1785246373.103638,2.86,ok
1785246373.1036701,2.84,ok
1785246373.10499,3.59,ok
1785246373.105731,3.65,ok
1785246373.106527,3.02,ok
1785246373.106581,4.29,ok
1785246373.106633,3.07,ok
1785246373.1066759,3.00,ok
1785246373.106899,4.64,ok
1785246373.107001,2.01,ok
1785246373.1070468,3.41,ok
1785246373.107706,1.97,ok
1785246373.108363,1.73,ok
1785246373.109344,2.67,ok
1785246373.109399,2.40,ok
1785246373.109428,2.84,ok
1785246373.109461,2.93,ok
1785246373.1095622,2.66,ok
1785246373.1107059,3.66,ok
1785246373.110765,3.06,ok
1785246373.112077,3.71,ok
1785246373.113538,2.83,ok
1785246373.1135948,4.19,ok
1785246373.113645,4.30,ok
1785246373.113696,4.27,ok
1785246373.113853,4.39,ok
1785246373.11389,4.33,ok
1785246373.114079,3.31,ok
1785246373.114628,2.55,ok
1785246373.115366,1.77,ok
1785246373.116002,2.35,ok
1785246373.116053,1.96,ok
1785246373.116145,2.61,ok
1785246373.1161768,2.28,ok
1785246373.116205,1.57,ok
1785246373.116336,2.64,ok
1785246373.1163661,2.51,ok
1785246373.1179378,2.57,ok
1785246373.1186502,2.59,ok
1785246373.1192122,3.21,ok
1785246373.11928,3.10,ok
1785246373.1193368,3.19,ok
1785246373.119402,3.20,ok
1785246373.119482,3.14,ok
1785246373.119584,3.22,ok
1785246373.120075,2.14,ok
1785246373.120723,2.07,ok
1785246373.121355,2.14,ok
1785246373.122099,2.76,ok
1785246373.122145,2.86,ok
1785246373.1221771,2.59,ok
1785246373.122303,2.90,ok
1785246373.122329,2.25,ok
1785246373.122426,2.94,ok
1785246373.122947,2.22,ok
1785246373.124396,3.04,ok
1785246373.1252391,3.14,ok
1785246373.1253052,2.97,ok
1785246373.125338,3.03,ok
1785246373.125379,3.20,ok
1785246373.125468,3.04,ok
1785246373.12558,3.43,ok
1785246373.126178,3.23,ok
1785246373.1268091,2.41,ok
1785246373.1276102,2.37,ok
1785246373.127659,2.27,ok
1785246373.127695,2.11,ok
1785246373.127761,2.45,ok
1785246373.1279051,2.56,ok
1785246373.12796,2.49,ok
1785246373.129236,3.06,ok
1785246373.129264,2.45,ok
1785246373.1301298,2.52,ok
1785246373.130935,3.03,ok
1785246373.130986,3.02,ok
1785246373.131029,3.27,ok
1785246373.131089,3.39,ok
1785246373.1312032,3.54,ok
1785246373.1318002,2.53,ok
1785246373.13183,2.59,ok
1785246373.132759,2.63,ok
1785246373.1327949,1.81,ok
1785246373.133468,2.26,ok
1785246373.133523,2.49,ok
1785246373.133585,2.49,ok
1785246373.1336708,2.73,ok
1785246373.134203,2.40,ok
1785246373.13424,2.41,ok
1785246373.1349351,2.17,ok
1785246373.1349702,2.17,ok
1785246373.135732,2.21,ok
1785246373.135776,2.31,ok
1785246373.135819,2.23,ok
1785246373.137268,3.60,ok
1785246373.137307,3.10,ok
1785246373.137394,3.15,ok
1785246373.138149,3.21,ok
1785246373.138187,2.45,ok
1785246373.138253,3.28,ok
1785246373.138308,2.53,ok
1785246373.138458,2.64,ok
1785246373.138912,1.52,ok
1785246373.139783,2.47,ok
1785246373.139819,2.55,ok
1785246373.140359,2.10,ok
1785246373.141202,3.05,ok
1785246373.1412601,3.07,ok
1785246373.141331,2.42,ok
1785246373.141428,2.97,ok
1785246373.1415129,3.20,ok
1785246373.1428962,3.08,ok
1785246373.142936,3.15,ok
1785246373.143905,3.54,ok
1785246373.1439419,2.74,ok
1785246373.144771,3.44,ok
1785246373.1448178,3.30,ok
1785246373.144879,3.62,ok
1785246373.1450508,2.15,ok
1785246373.145098,3.67,ok
1785246373.145876,2.94,ok
1785246373.146637,2.73,ok
1785246373.146678,2.73,ok
1785246373.146966,2.19,ok
1785246373.147084,2.20,ok
1785246373.148621,3.80,ok
1785246373.148706,3.65,ok
1785246373.148741,3.64,ok
1785246373.149473,3.59,ok
1785246373.150074,3.39,ok
1785246373.150872,4.23,ok
1785246373.151669,3.05,ok
1785246373.151705,2.96,ok
1785246373.151733,4.77,ok
1785246373.151785,3.08,ok
1785246373.151829,2.35,ok
1785246373.151999,4.91,ok
1785246373.1527371,2.66,ok
1785246373.15293,2.06,ok
1785246373.153624,1.84,ok
1785246373.155147,3.15,ok
1785246373.1552,3.49,ok
