ts,history_list_len,plain_ibd_bytes,part_ibd_bytes
1785246373.1,0,754974720,822214656
1785246374.1,1,754974720,822525952
1785246375.2,1,754974720,822788096
1785246376.3,1,754974720,823050240
1785246377.4,1,754974720,832569344
1785246378.4,1,754974720,832569344
1785246379.5,1,754974720,833617920
1785246380.6,1,754974720,833617920
1785246381.6,1,754974720,833617920
1785246382.7,1,754974720,833617920
1785246383.8,31,754974720,422576128
1785246384.8,0,754974720,423624704
1785246385.9,0,754974720,424673280
1785246386.9,0,754974720,424673280
1785246388.0,0,754974720,424673280
1785246389.1,0,754974720,424673280
1785246390.1,0,754974720,424673280
1785246391.2,0,754974720,425721856
1785246392.3,0,754974720,425721856
1785246393.3,1,754974720,425721856
1785246394.4,1,754974720,425721856
1785246395.5,1,754974720,427819008
1785246396.5,1,754974720,427819008
1785246397.6,1,754974720,427819008
1785246398.6,1,754974720,427819008
1785246399.7,1,754974720,428867584
1785246400.8,1,754974720,428867584
1785246401.8,1,754974720,428867584
1785246402.9,1,754974720,428867584
1785246404.0,1,754974720,429916160
1785246405.0,0,754974720,430964736
1785246406.1,1,754974720,430964736
1785246407.2,1,754974720,430964736
1785246408.2,1,754974720,430964736
1785246409.3,1,754974720,430964736
1785246410.4,1,754974720,430964736
1785246411.5,1,754974720,430964736
1785246412.5,1,754974720,430964736
1785246413.6,1,754974720,432013312
1785246414.7,1,754974720,432013312
1785246415.7,1,754974720,432013312
1785246416.8,0,754974720,432013312
1785246417.8,0,754974720,432013312
1785246418.9,1,754974720,432013312
1785246419.9,1,754974720,432013312
1785246421.0,1,754974720,432013312
1785246422.1,1,754974720,432013312
1785246423.1,1,754974720,432013312
1785246424.2,1,754974720,432013312
1785246425.3,1,754974720,432013312
1785246426.3,1,754974720,432013312
1785246427.4,1,754974720,432013312
1785246428.4,1,754974720,432013312
1785246429.5,1,754974720,432013312
1785246430.5,0,754974720,432013312
1785246431.6,0,754974720,432013312
1785246432.7,1,754974720,432013312
1785246433.7,1,754974720,432013312
1785246434.8,1,754974720,433061888
1785246435.9,1,754974720,433061888
1785246436.9,1,754974720,434110464
1785246438.0,1,754974720,434110464
1785246439.0,1,754974720,434110464
1785246440.1,1,754974720,434110464
1785246441.2,1,754974720,434110464
1785246442.3,1,754974720,435159040
1785246443.3,1,754974720,436207616
1785246444.4,0,754974720,436207616
1785246445.5,0,754974720,436207616
1785246446.5,0,754974720,437256192
1785246447.6,0,754974720,437256192
1785246448.7,0,754974720,437256192
1785246449.7,0,754974720,437256192
1785246450.8,1,754974720,438304768
1785246451.9,1,754974720,438304768
1785246452.9,1,754974720,439353344
1785246454.0,1,754974720,439353344
1785246455.1,1,754974720,439353344
1785246456.1,1,754974720,440401920
1785246457.2,1,754974720,440401920
1785246458.2,1,754974720,441450496
1785246459.3,1,754974720,441450496
1785246460.4,1,754974720,442499072
1785246461.4,1,754974720,442499072
1785246462.5,0,754974720,442499072
1785246463.5,0,754974720,443547648
1785246464.6,0,754974720,443547648
1785246465.7,0,754974720,443547648
1785246466.8,1,754974720,444596224
1785246467.8,1,754974720,444596224
1785246468.9,1,754974720,444596224
1785246470.0,1,754974720,448790528
1785246471.0,1,754974720,448790528
1785246472.1,1,754974720,448790528
1785246473.1,1,754974720,448790528
1785246474.2,1,754974720,448790528
1785246475.3,1,754974720,448790528
1785246476.3,1,754974720,448790528
1785246477.4,1,754974720,448790528
1785246478.5,0,754974720,448790528
1785246479.5,0,754974720,448790528
1785246480.6,0,754974720,448790528
1785246481.6,0,754974720,448790528
1785246482.7,0,754974720,448790528
1785246483.8,0,754974720,448790528
1785246484.8,0,754974720,448790528
1785246485.9,1,754974720,448790528
1785246487.0,1,754974720,448790528
1785246488.1,1,754974720,452984832
1785246489.1,1,754974720,452984832
1785246490.2,1,754974720,452984832
1785246491.3,1,754974720,452984832
1785246492.3,1,754974720,452984832
